Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
2,64,Random,12,2,-20288.564,-10144.282,157
4,112,keptBest,6,1,-10144.231,-10144.231,12
4,119,Permutate,6,1,-10144.227,-10144.227,6
2,44,Heredity,6,1,-10144.191,-10144.191,10
2,61,Random,12,2,-20288.294,-10144.147,2
1,31,RandTop,12,2,-20288.272,-10144.136,10
2,55,RandTop,12,2,-20288.228,-10144.114,123
3,103,Random,12,2,-20288.094,-10144.047,10
6,215,Random,12,2,-20288.088,-10144.044,13
6,185,keptBest,12,2,-20288.06,-10144.03,163
4,109,keptBest,12,2,-20288.06,-10144.03,163
5,147,keptBest,12,2,-20288.06,-10144.03,163
3,91,Permutate,12,2,-20288.06,-10144.03,163
3,101,Random,12,2,-20287.998,-10143.999,2
4,111,Heredity,6,1,-10143.998,-10143.998,12
6,213,Random,12,2,-20287.98,-10143.99,13
5,175,Random,12,2,-20287.978,-10143.989,2
3,99,Random,12,2,-20287.97,-10143.985,2
3,79,Heredity,6,1,-10143.976,-10143.976,2
1,4,Random,6,1,-10143.971,-10143.971,12
2,68,RandTop,12,2,-20287.919,-10143.959,2
4,121,Random,6,1,-10143.953,-10143.953,2
2,50,LatMutate,6,1,-10143.945,-10143.945,12
1,25,Random,12,2,-20287.855,-10143.927,12
4,133,RandTop,12,2,-20287.853,-10143.927,10
3,77,keptBest,6,1,-10143.925,-10143.925,148
1,1,Random,6,1,-10143.925,-10143.925,148
2,38,keptBest,6,1,-10143.925,-10143.925,148
4,115,Random,6,1,-10143.917,-10143.917,10
6,214,RandTop,12,2,-20287.831,-10143.915,2
5,172,Permutate,12,2,-20287.826,-10143.913,36
5,178,Random,12,2,-20287.752,-10143.876,9
6,194,LatMutate,6,1,-10143.875,-10143.875,12
1,28,Random,12,2,-20287.731,-10143.865,13
4,136,Random,12,2,-20287.704,-10143.852,12
6,188,Random,6,1,-10143.831,-10143.831,162
3,85,LatMutate,6,1,-10143.83,-10143.83,12
3,96,Random,12,2,-20287.651,-10143.826,2
1,24,Random,12,2,-20287.651,-10143.825,12
2,37,Heredity,6,1,-10143.817,-10143.817,12
6,190,keptBest,6,1,-10143.8,-10143.8,2
5,154,keptBest,6,1,-10143.8,-10143.8,2
2,49,Heredity,6,1,-10143.8,-10143.8,2
3,78,keptBest,6,1,-10143.8,-10143.8,2
4,114,keptBest,6,1,-10143.8,-10143.8,2
1,14,Random,6,1,-10143.764,-10143.764,12
6,196,LatMutate,6,1,-10143.758,-10143.758,6
3,81,RandTop,6,1,-10143.754,-10143.754,6
1,6,Random,6,1,-10143.75,-10143.75,12
4,132,RandTop,12,2,-20287.482,-10143.741,129
5,170,RandTop,12,2,-20287.474,-10143.737,65
4,123,Random,6,1,-10143.719,-10143.719,12
2,48,Permutate,6,1,-10143.716,-10143.716,1
6,192,keptBest,6,1,-10143.711,-10143.711,1
4,117,keptBest,6,1,-10143.711,-10143.711,1
5,156,keptBest,6,1,-10143.711,-10143.711,1
3,87,Heredity,6,1,-10143.711,-10143.711,1
5,162,Random,6,1,-10143.709,-10143.709,2
5,174,RandTop,12,2,-20287.349,-10143.675,17
5,149,Heredity,6,1,-10143.665,-10143.665,2
4,125,Random,12,2,-20287.329,-10143.665,65
4,141,Random,12,2,-20287.296,-10143.648,6
3,80,keptBest,6,1,-10143.644,-10143.644,6
2,40,keptBest,6,1,-10143.644,-10143.644,6
1,11,RandTop,6,1,-10143.644,-10143.644,6
6,200,LatMutate,6,1,-10143.643,-10143.643,2
5,155,Heredity,6,1,-10143.641,-10143.641,65
4,120,Random,6,1,-10143.641,-10143.641,162
5,160,Random,6,1,-10143.622,-10143.622,2
4,113,LatMutate,6,1,-10143.616,-10143.616,65
6,197,LatMutate,6,1,-10143.597,-10143.597,12
5,150,Heredity,6,1,-10143.596,-10143.596,65
1,2,RandTop,6,1,-10143.591,-10143.591,65
2,41,Heredity,6,1,-10143.584,-10143.584,65
1,26,Random,12,2,-20287.158,-10143.579,4
1,22,RandTop,12,2,-20287.127,-10143.564,6
2,43,RandTop,6,1,-10143.527,-10143.527,65
5,152,Random,6,1,-10143.516,-10143.516,189
6,209,RandTop,12,2,-20287.018,-10143.509,65
1,3,Random,6,1,-10143.494,-10143.494,12
1,30,Random,12,2,-20286.972,-10143.486,2
4,118,Heredity,6,1,-10143.485,-10143.485,65
1,10,Random,6,1,-10143.485,-10143.485,12
5,167,RandTop,6,1,-10143.481,-10143.481,1
2,42,Random,6,1,-10143.474,-10143.474,65
6,191,Heredity,6,1,-10143.432,-10143.432,10
5,183,Random,12,2,-20286.862,-10143.431,3
1,7,RandTop,6,1,-10143.404,-10143.404,8
4,143,Random,12,2,-20286.759,-10143.379,1
2,70,Random,12,2,-20286.756,-10143.378,1
5,159,Random,6,1,-10143.376,-10143.376,162
3,83,Heredity,6,1,-10143.357,-10143.357,8
6,187,Heredity,6,1,-10143.336,-10143.336,12
6,212,RandTop,12,2,-20286.667,-10143.333,12
2,35,keptBest,12,2,-20286.643,-10143.321,160
1,20,RandTop,12,2,-20286.643,-10143.321,160
4,138,RandTop,12,2,-20286.614,-10143.307,1
1,9,RandTop,6,1,-10143.3,-10143.3,12
4,126,LatMutate,6,1,-10143.299,-10143.299,47
1,23,Random,12,2,-20286.588,-10143.294,2
1,5,RandTop,6,1,-10143.28,-10143.28,12
5,161,Random,6,1,-10143.276,-10143.276,12
1,8,RandTop,6,1,-10143.272,-10143.272,65
5,168,LatMutate,6,1,-10143.265,-10143.265,12
3,89,LatMutate,6,1,-10143.247,-10143.247,2
2,45,RandTop,6,1,-10143.224,-10143.224,12
6,193,RandTop,6,1,-10143.211,-10143.211,12
4,116,RandTop,6,1,-10143.198,-10143.198,12
3,82,RandTop,6,1,-10143.195,-10143.195,12
1,29,Random,12,2,-20286.381,-10143.191,7
6,199,Heredity,6,1,-10143.149,-10143.149,12
3,92,RandTop,12,2,-20286.268,-10143.134,65
3,76,Heredity,6,1,-10143.087,-10143.087,1
2,39,Heredity,6,1,-10143.056,-10143.056,1
2,69,Random,12,2,-20286.055,-10143.027,1
5,165,LatMutate,6,1,-10143.005,-10143.005,1
1,13,Random,6,1,-10142.983,-10142.983,2
6,202,RandTop,6,1,-10142.979,-10142.979,2
3,84,Heredity,6,1,-10142.973,-10142.973,12
1,12,Random,6,1,-10142.894,-10142.894,8
5,163,RandTop,6,1,-10142.881,-10142.881,2
2,47,RandTop,6,1,-10142.763,-10142.763,10
6,203,Random,6,1,-10142.749,-10142.749,2
1,16,RandTop,6,1,-10142.736,-10142.736,2
1,17,RandTop,6,1,-10142.679,-10142.679,38
6,201,Heredity,6,1,-10142.651,-10142.651,2
1,19,RandTop,6,1,-10142.65,-10142.65,5
6,219,Random,12,2,-20285.22,-10142.61,1
5,166,RandTop,6,1,-10142.527,-10142.527,38
1,18,RandTop,6,1,-10142.457,-10142.457,5
4,122,Heredity,6,1,-10142.336,-10142.336,2
3,88,Heredity,6,1,-10142.283,-10142.283,2
3,106,Random,12,2,-20284.144,-10142.072,5
2,60,Heredity,12,2,-20283.349,-10141.674,10
6,208,Heredity,12,2,-20283.037,-10141.518,2
3,90,Heredity,12,2,-20282.891,-10141.446,13
4,124,Heredity,12,2,-20282.862,-10141.431,1
2,56,softmutate,12,2,-20282.731,-10141.365,2
2,53,Heredity,12,2,-20282.693,-10141.347,2
6,206,Heredity,12,2,-20282.444,-10141.222,12
2,54,softmutate,12,2,-20282.427,-10141.214,2
2,57,Heredity,12,2,-20282.421,-10141.21,2
3,94,softmutate,12,2,-20282.256,-10141.128,2
4,134,Heredity,12,2,-20282.164,-10141.082,2
4,130,Heredity,12,2,-20282.148,-10141.074,2
4,135,Heredity,12,2,-20281.875,-10140.937,2
2,63,softmutate,12,2,-20281.841,-10140.921,1
2,59,Heredity,12,2,-20281.839,-10140.919,2
2,67,Heredity,12,2,-20281.793,-10140.896,2
4,127,Heredity,12,2,-20281.695,-10140.847,1
2,52,Heredity,12,2,-20281.692,-10140.846,2
4,128,Heredity,12,2,-20281.637,-10140.819,11
2,65,softmutate,12,2,-20281.584,-10140.792,2
5,169,softmutate,12,2,-20281.547,-10140.774,2
3,102,softmutate,12,2,-20281.459,-10140.729,2
5,173,Heredity,12,2,-20281.44,-10140.72,2
