Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
11,379,Permutate,6,1,-1885.759,-1885.759,12
5,169,Heredity,6,1,-1885.551,-1885.551,12
6,185,keptBest,6,1,-1885.551,-1885.551,12
4,105,keptBest,12,2,-3770.991,-1885.496,9
5,141,keptBest,12,2,-3770.991,-1885.496,9
3,96,RandTop,12,2,-3770.991,-1885.496,9
11,359,Heredity,6,1,-1885.481,-1885.481,2
7,247,Permutate,12,2,-3770.95,-1885.475,6
8,251,Heredity,6,1,-1885.459,-1885.459,10
9,291,Permutate,6,1,-1885.456,-1885.456,10
6,177,Heredity,6,1,-1885.45,-1885.45,10
3,84,Permutate,6,1,-1885.429,-1885.429,10
3,78,Permutate,6,1,-1885.42,-1885.42,10
6,198,Permutate,6,1,-1885.378,-1885.378,1
7,215,keptBest,6,1,-1885.378,-1885.378,1
10,343,Heredity,6,1,-1885.374,-1885.374,1
2,37,keptBest,6,1,-1885.371,-1885.371,166
3,73,keptBest,6,1,-1885.371,-1885.371,166
1,7,Random,6,1,-1885.371,-1885.371,166
8,254,Heredity,6,1,-1885.367,-1885.367,1
5,156,Permutate,6,1,-1885.366,-1885.366,1
7,216,Heredity,6,1,-1885.362,-1885.362,12
5,146,Heredity,6,1,-1885.352,-1885.352,160
6,186,keptBest,6,1,-1885.352,-1885.352,160
5,166,Permutate,6,1,-1885.327,-1885.327,8
5,147,keptBest,6,1,-1885.323,-1885.323,8
4,116,Heredity,6,1,-1885.323,-1885.323,8
5,167,Permutate,6,1,-1885.32,-1885.32,8
5,168,Permutate,6,1,-1885.319,-1885.319,8
9,320,softmutate,6,1,-1885.319,-1885.319,2
8,260,Heredity,6,1,-1885.315,-1885.315,2
11,358,Heredity,6,1,-1885.312,-1885.312,2
6,194,Heredity,6,1,-1885.312,-1885.312,8
11,360,Permutate,6,1,-1885.308,-1885.308,2
9,290,Permutate,6,1,-1885.307,-1885.307,2
2,39,Permutate,6,1,-1885.306,-1885.306,8
3,74,keptBest,6,1,-1885.306,-1885.306,8
10,321,Heredity,6,1,-1885.305,-1885.305,2
11,361,LatMutate,6,1,-1885.303,-1885.303,2
11,384,Random,6,1,-1885.295,-1885.295,44
4,123,LatMutate,6,1,-1885.29,-1885.29,1
5,152,Random,6,1,-1885.288,-1885.288,12
7,217,Random,6,1,-1885.276,-1885.276,8
3,72,Heredity,6,1,-1885.269,-1885.269,1
4,131,Heredity,6,1,-1885.268,-1885.268,8
10,339,Heredity,6,1,-1885.266,-1885.266,8
11,372,Permutate,6,1,-1885.21,-1885.21,12
3,89,Random,6,1,-1885.198,-1885.198,12
7,218,Permutate,6,1,-1885.184,-1885.184,8
6,183,Permutate,6,1,-1885.182,-1885.182,8
5,144,Permutate,6,1,-1885.145,-1885.145,8
9,286,Heredity,6,1,-1885.145,-1885.145,1
10,323,Heredity,6,1,-1885.145,-1885.145,8
11,369,keptBest,6,1,-1885.145,-1885.145,8
4,121,LatMutate,6,1,-1885.139,-1885.139,8
8,280,Permutate,12,2,-3770.27,-1885.135,1
11,365,Heredity,6,1,-1885.132,-1885.132,8
10,347,LatMutate,6,1,-1885.115,-1885.115,2
10,331,keptBest,6,1,-1885.093,-1885.093,200
4,107,keptBest,6,1,-1885.093,-1885.093,200
11,373,keptBest,6,1,-1885.093,-1885.093,200
5,153,keptBest,6,1,-1885.093,-1885.093,200
8,256,keptBest,6,1,-1885.093,-1885.093,200
6,187,keptBest,6,1,-1885.093,-1885.093,200
9,295,keptBest,6,1,-1885.093,-1885.093,200
7,219,keptBest,6,1,-1885.093,-1885.093,200
1,1,Random,6,1,-1885.093,-1885.093,200
3,76,keptBest,6,1,-1885.093,-1885.093,200
2,38,keptBest,6,1,-1885.093,-1885.093,200
11,383,LatMutate,6,1,-1885.092,-1885.092,1
10,324,RandTop,6,1,-1885.09,-1885.09,10
11,374,keptBest,6,1,-1885.09,-1885.09,10
6,209,RandTop,12,2,-3770.167,-1885.084,40
11,378,Permutate,6,1,-1885.006,-1885.006,1
10,348,softmutate,6,1,-1884.955,-1884.955,8
10,354,Permutate,12,2,-3769.893,-1884.947,1
9,305,LatMutate,6,1,-1884.944,-1884.944,1
10,332,keptBest,6,1,-1884.93,-1884.93,8
9,304,Permutate,6,1,-1884.93,-1884.93,8
5,165,Heredity,6,1,-1884.908,-1884.908,8
6,189,keptBest,6,1,-1884.908,-1884.908,8
2,40,keptBest,6,1,-1884.897,-1884.897,8
1,9,RandTop,6,1,-1884.897,-1884.897,8
5,150,Heredity,6,1,-1884.852,-1884.852,1
1,27,RandTop,12,2,-3769.687,-1884.844,6
1,28,RandTop,12,2,-3769.687,-1884.843,6
2,50,Permutate,6,1,-1884.839,-1884.839,1
9,318,Random,12,2,-3769.589,-1884.795,1
4,130,Permutate,6,1,-1884.795,-1884.795,1
6,211,Random,12,2,-3769.588,-1884.794,1
10,356,Random,12,2,-3769.495,-1884.747,8
8,264,Permutate,6,1,-1884.722,-1884.722,1
9,296,keptBest,6,1,-1884.722,-1884.722,1
1,31,Random,12,2,-3769.431,-1884.715,4
10,341,Random,6,1,-1884.684,-1884.684,1
4,113,Heredity,6,1,-1884.681,-1884.681,8
7,231,Heredity,6,1,-1884.68,-1884.68,1
7,220,Heredity,6,1,-1884.649,-1884.649,5
6,196,Random,6,1,-1884.637,-1884.637,1
1,17,Random,12,2,-3769.228,-1884.614,6
10,333,keptBest,6,1,-1884.598,-1884.598,2
9,300,LatMutate,6,1,-1884.598,-1884.598,2
6,190,keptBest,6,1,-1884.587,-1884.587,2
5,157,keptBest,6,1,-1884.587,-1884.587,2
3,80,LatMutate,6,1,-1884.587,-1884.587,2
4,110,keptBest,6,1,-1884.587,-1884.587,2
6,206,RandTop,12,2,-3769.153,-1884.576,7
7,232,RandTop,6,1,-1884.557,-1884.557,1
8,270,LatMutate,6,1,-1884.547,-1884.547,2
5,164,softmutate,6,1,-1884.397,-1884.397,2
5,149,Heredity,6,1,-1884.379,-1884.379,6
9,319,Random,12,2,-3768.723,-1884.362,1
3,69,RandTop,6,1,-1884.336,-1884.336,166
5,159,keptBest,6,1,-1884.336,-1884.336,166
4,112,keptBest,6,1,-1884.336,-1884.336,166
1,18,Random,12,2,-3768.621,-1884.31,6
4,106,keptBest,12,2,-3768.621,-1884.31,6
3,68,keptBest,12,2,-3768.621,-1884.31,6
2,32,keptBest,12,2,-3768.621,-1884.31,6
8,283,Random,12,2,-3768.471,-1884.236,1
7,236,Permutate,6,1,-1884.228,-1884.228,2
3,70,Permutate,6,1,-1884.194,-1884.194,6
7,222,Heredity,6,1,-1884.192,-1884.192,6
8,257,keptBest,6,1,-1884.192,-1884.192,6
6,199,Permutate,6,1,-1884.185,-1884.185,2
6,188,Heredity,6,1,-1884.18,-1884.18,6
3,79,LatMutate,6,1,-1884.164,-1884.164,1
4,125,LatMutate,6,1,-1884.147,-1884.147,1
9,285,Heredity,6,1,-1884.146,-1884.146,12
7,229,Heredity,6,1,-1884.142,-1884.142,12
9,297,keptBest,6,1,-1884.141,-1884.141,12
8,258,Heredity,6,1,-1884.141,-1884.141,12
7,226,LatMutate,6,1,-1884.128,-1884.128,1
4,128,RandTop,6,1,-1884.091,-1884.091,1
7,230,Random,6,1,-1884.087,-1884.087,6
11,375,Heredity,6,1,-1884.058,-1884.058,1
9,307,Permutate,6,1,-1884.039,-1884.039,1
3,86,LatMutate,6,1,-1884.029,-1884.029,1
5,162,RandTop,6,1,-1884.005,-1884.005,1
7,246,RandTop,12,2,-3767.988,-1883.994,1
7,227,LatMutate,6,1,-1883.974,-1883.974,8
5,151,Heredity,6,1,-1883.94,-1883.94,1
1,30,RandTop,12,2,-3767.825,-1883.912,8
1,25,RandTop,12,2,-3767.745,-1883.873,1
8,267,RandTop,6,1,-1883.851,-1883.851,5
4,119,Heredity,6,1,-1883.828,-1883.828,8
1,10,Random,6,1,-1883.719,-1883.719,1
6,200,LatMutate,6,1,-1883.68,-1883.68,1
3,104,Random,12,2,-3767.329,-1883.664,1
6,195,RandTop,6,1,-1883.62,-1883.62,160
8,259,keptBest,6,1,-1883.62,-1883.62,160
7,223,keptBest,6,1,-1883.62,-1883.62,160
9,302,softmutate,6,1,-1883.595,-1883.595,1
11,388,Random,12,2,-3767.091,-1883.546,6
3,77,keptBest,6,1,-1883.518,-1883.518,166
2,34,RandTop,6,1,-1883.518,-1883.518,166
9,309,RandTop,6,1,-1883.5,-1883.5,1
