Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
6,177,Permutate,6,1,-3305.795,-3305.795,6
7,237,Permutate,12,2,-6611.482,-3305.741,9
4,116,Heredity,6,1,-3305.609,-3305.609,2
6,198,softmutate,6,1,-3305.555,-3305.555,12
8,265,LatMutate,6,1,-3305.488,-3305.488,12
5,145,Permutate,6,1,-3305.481,-3305.481,71
6,181,keptBest,6,1,-3305.481,-3305.481,71
8,270,Heredity,6,1,-3305.48,-3305.48,1
7,216,keptBest,6,1,-3305.479,-3305.479,2
8,253,keptBest,6,1,-3305.479,-3305.479,2
6,182,RandTop,6,1,-3305.479,-3305.479,2
6,188,Heredity,6,1,-3305.473,-3305.473,71
8,247,Heredity,6,1,-3305.446,-3305.446,2
1,6,Random,6,1,-3305.429,-3305.429,71
2,37,keptBest,6,1,-3305.429,-3305.429,71
4,110,keptBest,6,1,-3305.429,-3305.429,71
3,76,keptBest,6,1,-3305.429,-3305.429,71
5,146,keptBest,6,1,-3305.429,-3305.429,71
5,155,Random,6,1,-3305.41,-3305.41,71
8,256,keptBest,6,1,-3305.4,-3305.4,2
7,214,Heredity,6,1,-3305.4,-3305.4,2
4,123,LatMutate,6,1,-3305.39,-3305.39,12
3,72,Heredity,6,1,-3305.386,-3305.386,71
1,24,Random,12,2,-6610.728,-3305.364,8
7,212,Permutate,6,1,-3305.355,-3305.355,8
8,252,Permutate,6,1,-3305.352,-3305.352,8
5,143,Heredity,6,1,-3305.344,-3305.344,8
3,75,Heredity,6,1,-3305.343,-3305.343,8
4,111,keptBest,6,1,-3305.343,-3305.343,8
6,192,Heredity,6,1,-3305.305,-3305.305,8
6,208,Random,12,2,-6610.478,-3305.239,2
7,228,Heredity,6,1,-3305.203,-3305.203,1
7,233,Heredity,6,1,-3305.188,-3305.188,8
4,112,keptBest,6,1,-3305.186,-3305.186,12
5,147,keptBest,6,1,-3305.186,-3305.186,12
3,87,Heredity,6,1,-3305.186,-3305.186,12
6,183,keptBest,6,1,-3305.186,-3305.186,12
2,63,Permutate,12,2,-6610.35,-3305.175,8
6,184,keptBest,6,1,-3305.112,-3305.112,200
7,219,keptBest,6,1,-3305.112,-3305.112,200
8,257,keptBest,6,1,-3305.112,-3305.112,200
5,144,Random,6,1,-3305.112,-3305.112,200
4,122,Random,6,1,-3305.11,-3305.11,2
2,39,keptBest,6,1,-3305.107,-3305.107,200
3,78,keptBest,6,1,-3305.107,-3305.107,200
1,4,RandTop,6,1,-3305.107,-3305.107,200
5,149,keptBest,6,1,-3305.107,-3305.107,200
4,114,keptBest,6,1,-3305.107,-3305.107,200
8,249,Heredity,6,1,-3305.084,-3305.084,1
2,51,Random,6,1,-3305.07,-3305.07,8
5,163,LatMutate,6,1,-3305.066,-3305.066,2
6,191,Random,6,1,-3305.058,-3305.058,200
8,260,RandTop,6,1,-3305.056,-3305.056,1
7,222,Heredity,6,1,-3305.047,-3305.047,1
6,194,LatMutate,6,1,-3305.04,-3305.04,1
4,115,RandTop,6,1,-3305.029,-3305.029,1
3,82,softmutate,6,1,-3305.009,-3305.009,2
2,42,Heredity,6,1,-3304.991,-3304.991,5
3,80,keptBest,6,1,-3304.991,-3304.991,5
2,35,Heredity,6,1,-3304.985,-3304.985,1
3,73,Heredity,6,1,-3304.973,-3304.973,1
1,19,Random,6,1,-3304.944,-3304.944,1
2,41,keptBest,6,1,-3304.944,-3304.944,1
1,13,Random,6,1,-3304.911,-3304.911,1
1,31,Random,12,2,-6609.815,-3304.907,1
3,86,Permutate,6,1,-3304.905,-3304.905,2
3,83,Random,6,1,-3304.904,-3304.904,1
1,29,RandTop,12,2,-6609.782,-3304.891,1
5,153,Heredity,6,1,-3304.864,-3304.864,1
6,186,keptBest,6,1,-3304.864,-3304.864,1
7,221,keptBest,6,1,-3304.864,-3304.864,1
3,85,LatMutate,6,1,-3304.85,-3304.85,2
6,179,Heredity,6,1,-3304.832,-3304.832,2
7,234,Heredity,6,1,-3304.827,-3304.827,1
8,266,Heredity,6,1,-3304.826,-3304.826,2
4,135,Permutate,12,2,-6609.647,-3304.823,1
2,52,RandTop,12,2,-6609.644,-3304.822,163
3,79,LatMutate,6,1,-3304.818,-3304.818,6
4,108,Heredity,6,1,-3304.803,-3304.803,2
4,124,RandTop,6,1,-3304.778,-3304.778,1
2,48,LatMutate,6,1,-3304.768,-3304.768,2
6,180,Heredity,6,1,-3304.759,-3304.759,2
6,189,Heredity,6,1,-3304.752,-3304.752,148
7,224,keptBest,6,1,-3304.752,-3304.752,148
4,117,Random,6,1,-3304.707,-3304.707,2
5,174,softmutate,6,1,-3304.672,-3304.672,1
4,136,Permutate,12,2,-6609.211,-3304.606,1
2,61,Random,12,2,-6609.155,-3304.577,6
5,160,Random,6,1,-3304.567,-3304.567,139
1,12,Random,6,1,-3304.564,-3304.564,1
2,33,keptBest,12,2,-6609.111,-3304.555,114
3,69,keptBest,12,2,-6609.111,-3304.555,114
1,26,Random,12,2,-6609.111,-3304.555,114
7,218,softmutate,6,1,-3304.53,-3304.53,2
5,158,Heredity,6,1,-3304.518,-3304.518,2
8,250,Heredity,6,1,-3304.503,-3304.503,2
1,16,Random,6,1,-3304.501,-3304.501,1
8,254,Heredity,6,1,-3304.474,-3304.474,2
3,97,RandTop,12,2,-6608.917,-3304.459,1
5,165,Heredity,6,1,-3304.457,-3304.457,44
6,175,RandTop,6,1,-3304.444,-3304.444,166
1,1,RandTop,6,1,-3304.44,-3304.44,166
5,172,Random,12,2,-6608.877,-3304.438,1
5,161,softmutate,6,1,-3304.427,-3304.427,1
3,70,Heredity,6,1,-3304.419,-3304.419,166
6,209,RandTop,12,2,-6608.829,-3304.415,1
4,119,Heredity,6,1,-3304.388,-3304.388,2
4,105,Heredity,6,1,-3304.368,-3304.368,2
5,151,Heredity,6,1,-3304.363,-3304.363,12
8,248,Permutate,6,1,-3304.304,-3304.304,1
6,178,Permutate,6,1,-3304.285,-3304.285,2
5,157,Permutate,6,1,-3304.264,-3304.264,1
7,220,Heredity,6,1,-3304.23,-3304.23,1
8,255,Heredity,6,1,-3304.213,-3304.213,1
1,28,RandTop,12,2,-6608.364,-3304.182,1
6,196,softmutate,6,1,-3304.175,-3304.175,12
3,102,Random,12,2,-6608.324,-3304.162,1
7,230,LatMutate,6,1,-3304.157,-3304.157,1
6,201,Random,6,1,-3304.137,-3304.137,1
4,128,Random,12,2,-6608.253,-3304.126,37
4,113,Heredity,6,1,-3304.117,-3304.117,2
5,150,keptBest,6,1,-3304.117,-3304.117,2
5,162,Heredity,6,1,-3304.085,-3304.085,5
8,263,Heredity,6,1,-3304.079,-3304.079,2
2,40,Heredity,6,1,-3304.07,-3304.07,2
4,130,Random,12,2,-6608.123,-3304.061,2
1,32,Random,12,2,-6608.094,-3304.047,1
6,207,Random,12,2,-6608.063,-3304.032,1
5,148,Heredity,6,1,-3304.003,-3304.003,2
8,259,Heredity,6,1,-3303.994,-3303.994,2
8,262,Heredity,6,1,-3303.963,-3303.963,2
4,139,Random,12,2,-6607.897,-3303.949,1
7,210,RandTop,6,1,-3303.943,-3303.943,148
8,258,keptBest,6,1,-3303.943,-3303.943,148
5,173,Random,12,2,-6607.876,-3303.938,1
2,43,Heredity,6,1,-3303.93,-3303.93,1
6,206,RandTop,12,2,-6607.705,-3303.852,1
8,272,Heredity,6,1,-3303.851,-3303.851,1
3,84,LatMutate,6,1,-3303.8,-3303.8,1
5,167,Random,12,2,-6607.487,-3303.744,1
2,62,Random,12,2,-6607.483,-3303.742,1
7,223,Random,6,1,-3303.74,-3303.74,12
2,66,RandTop,12,2,-6607.384,-3303.692,1
4,106,Random,6,1,-3303.679,-3303.679,174
5,164,LatMutate,6,1,-3303.678,-3303.678,1
4,120,Heredity,6,1,-3303.652,-3303.652,2
5,152,Heredity,6,1,-3303.609,-3303.609,1
1,25,Random,12,2,-6607.18,-3303.59,12
8,281,RandTop,12,2,-6607.176,-3303.588,1
7,229,Heredity,6,1,-3303.588,-3303.588,1
4,127,RandTop,12,2,-6607.108,-3303.554,4
7,242,Random,12,2,-6607.08,-3303.54,1
4,126,LatMutate,6,1,-3303.539,-3303.539,8
7,232,LatMutate,6,1,-3303.536,-3303.536,8
7,245,RandTop,12,2,-6607.05,-3303.525,1
1,22,RandTop,12,2,-6607.037,-3303.518,4
4,133,Random,12,2,-6607.023,-3303.511,1
7,231,Random,6,1,-3303.509,-3303.509,1
7,240,Random,12,2,-6606.96,-3303.48,1
1,2,Random,6,1,-3303.474,-3303.474,6
2,50,LatMutate,6,1,-3303.469,-3303.469,8
2,60,Permutate,12,2,-6606.933,-3303.467,1
3,99,Random,12,2,-6606.928,-3303.464,1
1,18,RandTop,6,1,-3303.46,-3303.46,1
