Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
11,374,keptBest,6,1,-1876.104,-1876.104,1
5,170,softmutate,6,1,-1875.853,-1875.853,5
6,183,keptBest,6,1,-1875.853,-1875.853,5
7,221,keptBest,6,1,-1875.853,-1875.853,5
11,370,Permutate,6,1,-1875.782,-1875.782,1
10,340,Heredity,6,1,-1875.778,-1875.778,1
10,351,Heredity,6,1,-1875.775,-1875.775,1
9,321,Heredity,6,1,-1875.765,-1875.765,1
6,188,keptBest,6,1,-1875.743,-1875.743,2
2,51,Heredity,6,1,-1875.743,-1875.743,2
5,147,keptBest,6,1,-1875.743,-1875.743,2
7,222,keptBest,6,1,-1875.743,-1875.743,2
4,108,keptBest,6,1,-1875.743,-1875.743,2
3,76,keptBest,6,1,-1875.743,-1875.743,2
7,242,Heredity,6,1,-1875.707,-1875.707,8
11,368,RandTop,6,1,-1875.628,-1875.628,115
9,298,RandTop,6,1,-1875.621,-1875.621,115
11,377,keptBest,6,1,-1875.621,-1875.621,115
10,329,keptBest,6,1,-1875.621,-1875.621,115
9,297,keptBest,6,1,-1875.597,-1875.597,12
11,379,keptBest,6,1,-1875.597,-1875.597,12
10,331,keptBest,6,1,-1875.597,-1875.597,12
8,257,keptBest,6,1,-1875.597,-1875.597,12
7,231,Heredity,6,1,-1875.597,-1875.597,12
6,201,Heredity,6,1,-1875.519,-1875.519,12
9,322,Heredity,6,1,-1875.512,-1875.512,12
8,262,Heredity,6,1,-1875.511,-1875.511,12
9,290,Heredity,6,1,-1875.072,-1875.072,8
10,332,keptBest,6,1,-1875.072,-1875.072,8
11,380,keptBest,6,1,-1875.072,-1875.072,8
6,189,keptBest,6,1,-1875.07,-1875.07,8
9,302,keptBest,6,1,-1875.07,-1875.07,8
7,224,keptBest,6,1,-1875.07,-1875.07,8
8,259,keptBest,6,1,-1875.07,-1875.07,8
5,149,keptBest,6,1,-1875.07,-1875.07,8
4,111,Heredity,6,1,-1875.07,-1875.07,8
3,86,LatMutate,6,1,-1874.878,-1874.878,2
7,230,Heredity,6,1,-1874.831,-1874.831,1
9,293,Heredity,6,1,-1874.794,-1874.794,1
11,386,Permutate,6,1,-1874.745,-1874.745,1
8,281,Heredity,6,1,-1874.735,-1874.735,8
2,50,Heredity,6,1,-1874.728,-1874.728,8
2,39,keptBest,6,1,-1874.717,-1874.717,1
1,12,RandTop,6,1,-1874.717,-1874.717,1
8,273,Heredity,6,1,-1874.689,-1874.689,2
2,38,Heredity,6,1,-1874.687,-1874.687,2
8,276,Permutate,6,1,-1874.669,-1874.669,1
4,122,Heredity,6,1,-1874.664,-1874.664,8
2,41,Heredity,6,1,-1874.663,-1874.663,1
7,232,Heredity,6,1,-1874.657,-1874.657,1
10,352,Heredity,6,1,-1874.647,-1874.647,8
6,203,Permutate,6,1,-1874.643,-1874.643,1
9,296,Heredity,6,1,-1874.639,-1874.639,1
5,156,Heredity,6,1,-1874.637,-1874.637,8
3,87,Heredity,6,1,-1874.633,-1874.633,8
5,146,Heredity,6,1,-1874.632,-1874.632,1
5,172,Permutate,6,1,-1874.631,-1874.631,1
8,266,Permutate,6,1,-1874.63,-1874.63,1
4,127,Heredity,6,1,-1874.615,-1874.615,1
5,154,keptBest,6,1,-1874.615,-1874.615,1
11,375,Heredity,6,1,-1874.614,-1874.614,8
8,261,Heredity,6,1,-1874.609,-1874.609,1
11,366,Heredity,6,1,-1874.608,-1874.608,12
11,362,LatMutate,6,1,-1874.602,-1874.602,12
10,343,RandTop,6,1,-1874.561,-1874.561,1
6,197,Heredity,6,1,-1874.554,-1874.554,1
7,248,Permutate,6,1,-1874.549,-1874.549,1
11,396,Random,12,2,-3749.077,-1874.539,6
5,161,Permutate,6,1,-1874.522,-1874.522,8
9,317,Heredity,6,1,-1874.519,-1874.519,1
5,177,Random,12,2,-3749.013,-1874.506,1
4,110,Heredity,6,1,-1874.45,-1874.45,12
5,143,Heredity,6,1,-1874.396,-1874.396,2
6,193,Permutate,6,1,-1874.393,-1874.393,1
2,40,keptBest,6,1,-1874.392,-1874.392,12
1,6,Random,6,1,-1874.392,-1874.392,12
4,114,keptBest,6,1,-1874.392,-1874.392,12
3,78,keptBest,6,1,-1874.392,-1874.392,12
5,168,Heredity,6,1,-1874.369,-1874.369,1
8,271,Heredity,6,1,-1874.254,-1874.254,1
3,74,Heredity,6,1,-1874.229,-1874.229,2
6,217,softmutate,12,2,-3748.419,-1874.209,1
10,328,Random,6,1,-1874.192,-1874.192,189
11,381,keptBest,6,1,-1874.192,-1874.192,189
1,3,Random,6,1,-1874.19,-1874.19,189
2,42,keptBest,6,1,-1874.19,-1874.19,189
8,267,LatMutate,6,1,-1874.161,-1874.161,8
10,333,keptBest,6,1,-1874.161,-1874.161,8
9,304,keptBest,6,1,-1874.161,-1874.161,8
7,225,keptBest,6,1,-1874.16,-1874.16,8
8,260,keptBest,6,1,-1874.16,-1874.16,8
6,194,LatMutate,6,1,-1874.16,-1874.16,8
11,383,Permutate,6,1,-1874.092,-1874.092,38
11,389,Heredity,6,1,-1874.067,-1874.067,1
5,167,softmutate,6,1,-1874.065,-1874.065,2
5,160,RandTop,6,1,-1874.012,-1874.012,1
9,306,keptBest,6,1,-1873.965,-1873.965,166
7,219,Random,6,1,-1873.965,-1873.965,166
8,263,keptBest,6,1,-1873.965,-1873.965,166
10,334,Heredity,6,1,-1873.946,-1873.946,1
9,307,Heredity,6,1,-1873.895,-1873.895,1
8,287,Random,12,2,-3747.751,-1873.875,26
3,95,RandTop,12,2,-3747.703,-1873.851,1
10,335,Permutate,6,1,-1873.846,-1873.846,8
10,337,Permutate,6,1,-1873.844,-1873.844,8
8,274,Heredity,6,1,-1873.838,-1873.838,8
