Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
5,158,keptBest,6,1,-1986.145,-1986.145,1
4,107,Heredity,6,1,-1985.906,-1985.906,1
4,123,Permutate,6,1,-1985.828,-1985.828,8
4,131,Permutate,6,1,-1985.827,-1985.827,8
3,85,Permutate,6,1,-1985.825,-1985.825,8
2,57,LatMutate,6,1,-1985.807,-1985.807,8
5,152,Heredity,6,1,-1985.684,-1985.684,1
1,29,RandTop,12,2,-3970.843,-1985.421,1
5,159,keptBest,6,1,-1985.212,-1985.212,1
4,118,Random,6,1,-1985.212,-1985.212,1
3,101,LatMutate,6,1,-1984.978,-1984.978,1
4,127,keptBest,6,1,-1984.978,-1984.978,1
5,164,keptBest,6,1,-1984.978,-1984.978,1
4,106,Heredity,6,1,-1984.778,-1984.778,44
4,138,RandTop,6,1,-1984.636,-1984.636,1
3,92,keptBest,6,1,-1984.613,-1984.613,44
2,51,keptBest,6,1,-1984.613,-1984.613,44
4,128,keptBest,6,1,-1984.613,-1984.613,44
5,165,keptBest,6,1,-1984.613,-1984.613,44
1,25,Random,6,1,-1984.613,-1984.613,44
3,91,Permutate,6,1,-1984.134,-1984.134,1
5,146,Heredity,6,1,-1984.068,-1984.068,1
3,84,Permutate,6,1,-1984.05,-1984.05,1
2,60,Permutate,6,1,-1984.05,-1984.05,1
5,166,keptBest,6,1,-1984.015,-1984.015,38
4,113,Random,6,1,-1984.015,-1984.015,38
4,132,RandTop,12,2,-3967.978,-1983.989,1
5,155,Random,12,2,-3967.951,-1983.976,1
4,129,keptBest,6,1,-1983.947,-1983.947,1
3,98,softmutate,6,1,-1983.947,-1983.947,1
4,137,softmutate,6,1,-1983.928,-1983.928,1
3,96,RandTop,12,2,-3967.851,-1983.926,1
3,89,Random,12,2,-3967.721,-1983.86,1
3,70,Heredity,6,1,-1983.837,-1983.837,1
2,44,Heredity,12,2,-3967.314,-1983.657,1
3,67,keptBest,12,2,-3967.314,-1983.657,1
2,41,Random,12,2,-3967.208,-1983.604,2
2,38,keptBest,12,2,-3967.171,-1983.586,1
1,15,RandTop,12,2,-3967.171,-1983.586,1
5,141,Heredity,6,1,-1983.551,-1983.551,1
2,47,Permutate,12,2,-3966.92,-1983.46,1
4,109,Heredity,6,1,-1983.459,-1983.459,1
3,99,Random,12,2,-3966.913,-1983.457,1
4,115,RandTop,12,2,-3966.897,-1983.449,1
2,62,Random,6,1,-1983.415,-1983.415,1
2,64,softmutate,12,2,-3966.806,-1983.403,1
5,151,Heredity,6,1,-1983.379,-1983.379,1
5,154,RandTop,12,2,-3966.648,-1983.324,1
5,171,softmutate,6,1,-1983.303,-1983.303,1
5,168,Heredity,6,1,-1983.256,-1983.256,1
5,148,RandTop,12,2,-3966.423,-1983.212,1
2,42,RandTop,12,2,-3966.392,-1983.196,2
5,140,Heredity,6,1,-1983.17,-1983.17,1
5,167,Permutate,6,1,-1983.153,-1983.153,1
5,160,Permutate,6,1,-1983.126,-1983.126,1
4,112,Heredity,6,1,-1983.059,-1983.059,1
5,172,softmutate,6,1,-1983.014,-1983.014,1
4,130,keptBest,6,1,-1982.902,-1982.902,25
3,93,keptBest,6,1,-1982.902,-1982.902,25
2,46,Heredity,6,1,-1982.902,-1982.902,25
2,52,keptBest,6,1,-1982.897,-1982.897,25
1,26,RandTop,6,1,-1982.897,-1982.897,25
3,95,LatMutate,6,1,-1982.83,-1982.83,1
3,88,Heredity,12,2,-3965.573,-1982.786,1
2,55,Heredity,6,1,-1982.772,-1982.772,1
3,74,Heredity,6,1,-1982.708,-1982.708,1
4,136,softmutate,12,2,-3965.403,-1982.702,1
2,54,Heredity,6,1,-1982.687,-1982.687,1
5,169,Random,12,2,-3965.258,-1982.629,1
4,133,LatMutate,6,1,-1982.621,-1982.621,1
5,162,Heredity,6,1,-1982.601,-1982.601,1
2,43,RandTop,12,2,-3965.201,-1982.6,1
3,102,softmutate,6,1,-1982.575,-1982.575,2
5,161,Random,6,1,-1982.551,-1982.551,1
4,122,Random,6,1,-1982.499,-1982.499,1
1,13,Random,12,2,-3964.979,-1982.489,1
3,100,softmutate,6,1,-1982.477,-1982.477,1
3,83,RandTop,12,2,-3964.946,-1982.473,4
2,40,RandTop,12,2,-3964.909,-1982.454,1
3,69,Heredity,6,1,-1982.449,-1982.449,1
1,12,Random,6,1,-1982.421,-1982.421,1
4,104,Heredity,6,1,-1982.406,-1982.406,1
5,150,RandTop,12,2,-3964.803,-1982.401,1
5,147,RandTop,12,2,-3964.753,-1982.377,1
3,80,RandTop,6,1,-1982.351,-1982.351,1
2,33,Random,12,2,-3964.635,-1982.318,1
4,134,LatMutate,6,1,-1982.316,-1982.316,1
2,56,Random,6,1,-1982.311,-1982.311,5
5,143,RandTop,12,2,-3964.611,-1982.306,63
2,53,keptBest,6,1,-1982.295,-1982.295,1
1,11,Random,6,1,-1982.295,-1982.295,1
5,170,Permutate,12,2,-3964.552,-1982.276,1
1,8,RandTop,12,2,-3964.507,-1982.254,1
3,94,keptBest,6,1,-1982.252,-1982.252,1
2,61,LatMutate,6,1,-1982.252,-1982.252,1
3,77,Heredity,12,2,-3964.485,-1982.242,1
1,20,Random,12,2,-3964.458,-1982.229,1
1,16,Random,12,2,-3964.321,-1982.16,1
3,71,Heredity,6,1,-1982.152,-1982.152,1
3,68,Heredity,6,1,-1982.14,-1982.14,1
3,82,Random,12,2,-3964.272,-1982.136,1
1,9,Random,12,2,-3964.259,-1982.13,2
3,76,Random,6,1,-1982.124,-1982.124,1
2,66,softmutate,12,2,-3964.194,-1982.097,1
2,39,RandTop,12,2,-3964.189,-1982.094,1
5,149,Heredity,12,2,-3964.163,-1982.082,1
1,17,Random,6,1,-1982.053,-1982.053,1
1,14,Random,12,2,-3964.075,-1982.037,1
3,97,LatMutate,6,1,-1982.006,-1982.006,1
3,81,Heredity,12,2,-3963.956,-1981.978,1
2,59,softmutate,12,2,-3963.929,-1981.965,1
3,79,Random,6,1,-1981.952,-1981.952,2
5,173,softmutate,12,2,-3963.9,-1981.95,1
4,124,Random,6,1,-1981.932,-1981.932,1
1,18,RandTop,12,2,-3963.855,-1981.928,1
4,119,softmutate,12,2,-3963.852,-1981.926,1
3,72,Heredity,12,2,-3963.815,-1981.907,1
5,157,Random,6,1,-1981.89,-1981.89,1
4,120,RandTop,6,1,-1981.873,-1981.873,1
4,105,Heredity,6,1,-1981.87,-1981.87,1
2,48,Heredity,6,1,-1981.786,-1981.786,1
4,108,Heredity,12,2,-3963.572,-1981.786,1
2,65,softmutate,12,2,-3963.537,-1981.768,1
1,5,RandTop,12,2,-3963.527,-1981.764,1
5,163,RandTop,6,1,-1981.736,-1981.736,166
2,63,softmutate,12,2,-3963.274,-1981.637,1
1,19,Random,12,2,-3963.251,-1981.626,1
1,4,Random,12,2,-3963.233,-1981.616,1
4,121,softmutate,12,2,-3963.186,-1981.593,1
5,145,Heredity,6,1,-1981.591,-1981.591,1
3,73,Heredity,12,2,-3963.171,-1981.585,1
4,126,softmutate,12,2,-3963.124,-1981.562,1
5,156,Random,12,2,-3963.101,-1981.55,1
4,110,Heredity,12,2,-3963.002,-1981.501,1
2,36,Heredity,12,2,-3962.975,-1981.488,1
3,103,softmutate,6,1,-1981.437,-1981.437,1
5,153,Heredity,12,2,-3962.826,-1981.413,1
1,21,RandTop,6,1,-1981.367,-1981.367,1
4,117,Random,6,1,-1981.354,-1981.354,1
4,114,Heredity,12,2,-3962.685,-1981.342,1
2,35,Heredity,12,2,-3962.669,-1981.334,1
3,87,RandTop,6,1,-1981.298,-1981.298,2
2,45,Heredity,12,2,-3962.589,-1981.295,1
1,2,Random,12,2,-3962.434,-1981.217,107
2,58,Random,6,1,-1981.151,-1981.151,1
5,142,Heredity,12,2,-3962.299,-1981.149,1
1,22,Random,12,2,-3962.238,-1981.119,1
4,135,LatMutate,6,1,-1981.094,-1981.094,1
3,75,softmutate,12,2,-3962.079,-1981.04,1
2,34,Heredity,12,2,-3962.055,-1981.028,1
4,139,softmutate,6,1,-1980.995,-1980.995,1
4,111,softmutate,12,2,-3961.973,-1980.987,1
4,116,softmutate,12,2,-3961.707,-1980.853,1
