Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
12,427,keptBest,6,1,-7516.506,-7516.506,12
13,441,Random,12,2,-15032.963,-7516.481,192
13,448,keptBest,12,2,-15032.96,-7516.48,2
11,375,Heredity,6,1,-7516.454,-7516.454,2
11,392,Permutate,6,1,-7516.305,-7516.305,12
3,87,Heredity,6,1,-7516.304,-7516.304,12
5,177,LatMutate,6,1,-7516.274,-7516.274,2
13,471,LatMutate,6,1,-7516.274,-7516.274,12
11,396,Random,12,2,-15032.536,-7516.268,12
4,116,keptBest,12,2,-15032.527,-7516.263,2
3,79,keptBest,12,2,-15032.527,-7516.263,2
2,45,keptBest,12,2,-15032.527,-7516.263,2
1,4,Random,12,2,-15032.527,-7516.263,2
5,148,keptBest,12,2,-15032.527,-7516.263,2
8,290,Random,12,2,-15032.507,-7516.253,1
11,374,Heredity,6,1,-7516.244,-7516.244,12
11,376,Heredity,6,1,-7516.236,-7516.236,2
7,228,RandTop,12,2,-15032.472,-7516.236,2
7,234,Heredity,6,1,-7516.233,-7516.233,2
9,310,Random,6,1,-7516.233,-7516.233,12
3,83,keptBest,12,2,-15032.465,-7516.232,2
2,36,RandTop,12,2,-15032.465,-7516.232,2
4,117,keptBest,12,2,-15032.465,-7516.232,2
10,345,Heredity,6,1,-7516.23,-7516.23,2
12,404,Permutate,12,2,-15032.438,-7516.219,2
8,258,Permutate,12,2,-15032.438,-7516.219,1
4,118,keptBest,12,2,-15032.415,-7516.208,12
1,16,RandTop,12,2,-15032.415,-7516.208,12
2,46,keptBest,12,2,-15032.415,-7516.208,12
5,146,Permutate,12,2,-15032.416,-7516.208,2
3,84,keptBest,12,2,-15032.415,-7516.208,12
8,289,LatMutate,6,1,-7516.206,-7516.206,2
12,440,LatMutate,6,1,-7516.198,-7516.198,2
7,256,Random,6,1,-7516.194,-7516.194,1
3,76,RandTop,12,2,-15032.366,-7516.183,11
1,23,RandTop,6,1,-7516.181,-7516.181,2
7,235,Heredity,6,1,-7516.18,-7516.18,2
1,31,RandTop,12,2,-15032.352,-7516.176,1
2,47,keptBest,12,2,-15032.352,-7516.176,1
13,453,Permutate,12,2,-15032.348,-7516.174,2
