Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
7,248,Permutate,6,1,-7832.021,-7832.021,2
1,24,RandTop,12,2,-15663.938,-7831.969,11
3,71,Random,12,2,-15663.931,-7831.965,148
1,23,Random,12,2,-15663.798,-7831.899,2
5,173,keptBest,6,1,-7831.849,-7831.849,2
2,43,keptBest,12,2,-15663.671,-7831.836,2
1,13,RandTop,12,2,-15663.628,-7831.814,1
7,253,RandTop,12,2,-15663.567,-7831.784,1
3,78,keptBest,12,2,-15663.564,-7831.782,11
2,33,Permutate,12,2,-15663.564,-7831.782,11
1,21,RandTop,12,2,-15663.558,-7831.779,11
1,19,Random,12,2,-15663.555,-7831.778,1
7,236,RandTop,12,2,-15663.543,-7831.771,10
2,52,Heredity,6,1,-7831.763,-7831.763,2
3,102,Random,12,2,-15663.515,-7831.757,2
7,251,LatMutate,6,1,-7831.723,-7831.723,2
3,100,LatMutate,6,1,-7831.716,-7831.716,2
3,92,RandTop,12,2,-15663.427,-7831.713,1
7,221,Heredity,6,1,-7831.706,-7831.706,2
7,241,keptBest,6,1,-7831.705,-7831.705,2
6,210,LatMutate,6,1,-7831.705,-7831.705,2
7,252,LatMutate,6,1,-7831.663,-7831.663,2
5,180,RandTop,12,2,-15663.314,-7831.657,2
6,199,Permutate,6,1,-7831.634,-7831.634,2
6,204,Permutate,6,1,-7831.633,-7831.633,2
5,154,Heredity,6,1,-7831.621,-7831.621,2
6,200,Permutate,6,1,-7831.621,-7831.621,2
2,60,LatMutate,6,1,-7831.62,-7831.62,12
6,188,Heredity,6,1,-7831.616,-7831.616,1
7,224,Heredity,6,1,-7831.615,-7831.615,2
6,214,LatMutate,6,1,-7831.607,-7831.607,2
7,237,Permutate,12,2,-15663.213,-7831.606,1
5,176,Permutate,6,1,-7831.606,-7831.606,2
1,16,Random,12,2,-15663.172,-7831.586,1
3,98,Permutate,6,1,-7831.578,-7831.578,2
6,215,Random,12,2,-15663.15,-7831.575,2
7,225,Heredity,6,1,-7831.567,-7831.567,2
6,187,Heredity,6,1,-7831.562,-7831.562,2
5,171,Random,12,2,-15663.11,-7831.555,2
4,112,keptBest,12,2,-15663.102,-7831.551,15
3,79,keptBest,12,2,-15663.102,-7831.551,15
7,256,Random,12,2,-15663.103,-7831.551,2
5,147,keptBest,12,2,-15663.102,-7831.551,15
2,51,Random,12,2,-15663.102,-7831.551,15
7,229,Heredity,6,1,-7831.542,-7831.542,2
1,27,RandTop,6,1,-7831.539,-7831.539,2
2,53,Heredity,6,1,-7831.535,-7831.535,2
6,203,Random,12,2,-15663.065,-7831.533,1
6,211,LatMutate,6,1,-7831.525,-7831.525,2
5,181,LatMutate,6,1,-7831.523,-7831.523,2
4,132,Heredity,6,1,-7831.512,-7831.512,2
1,3,Random,12,2,-15663.015,-7831.507,2
2,50,Heredity,6,1,-7831.496,-7831.496,2
4,120,Random,12,2,-15662.99,-7831.495,2
6,189,Heredity,6,1,-7831.494,-7831.494,2
6,184,Heredity,6,1,-7831.493,-7831.493,2
1,31,RandTop,6,1,-7831.488,-7831.488,1
6,216,RandTop,12,2,-15662.972,-7831.486,2
7,255,Random,12,2,-15662.967,-7831.484,2
1,28,RandTop,6,1,-7831.475,-7831.475,2
3,104,LatMutate,6,1,-7831.474,-7831.474,1
3,94,keptBest,6,1,-7831.47,-7831.47,1
2,54,keptBest,6,1,-7831.47,-7831.47,1
1,29,Random,6,1,-7831.47,-7831.47,1
2,47,RandTop,12,2,-15662.933,-7831.467,2
4,121,Heredity,6,1,-7831.465,-7831.465,2
1,14,Random,12,2,-15662.928,-7831.464,1
5,168,Permutate,6,1,-7831.463,-7831.463,2
1,26,Random,6,1,-7831.46,-7831.46,2
3,81,keptBest,12,2,-15662.902,-7831.451,1
4,115,keptBest,12,2,-15662.902,-7831.451,1
5,148,keptBest,12,2,-15662.902,-7831.451,1
2,39,Random,12,2,-15662.902,-7831.451,1
3,99,RandTop,6,1,-7831.449,-7831.449,2
5,155,Heredity,6,1,-7831.443,-7831.443,2
7,232,Random,6,1,-7831.43,-7831.43,2
6,186,Heredity,6,1,-7831.428,-7831.428,2
7,235,Random,6,1,-7831.41,-7831.41,2
7,223,Heredity,6,1,-7831.403,-7831.403,2
4,126,Heredity,6,1,-7831.4,-7831.4,2
2,57,Random,6,1,-7831.398,-7831.398,2
3,73,Permutate,12,2,-15662.745,-7831.372,11
7,246,RandTop,6,1,-7831.369,-7831.369,1
6,212,LatMutate,6,1,-7831.344,-7831.344,2
5,160,Random,6,1,-7831.343,-7831.343,12
2,44,keptBest,12,2,-15662.682,-7831.341,2
1,30,RandTop,12,2,-15662.682,-7831.341,2
4,142,LatMutate,6,1,-7831.325,-7831.325,2
3,96,RandTop,6,1,-7831.306,-7831.306,2
1,10,RandTop,12,2,-15662.613,-7831.306,1
2,69,RandTop,12,2,-15662.596,-7831.298,1
1,25,RandTop,6,1,-7831.28,-7831.28,47
2,56,keptBest,6,1,-7831.28,-7831.28,47
4,137,Random,12,2,-15662.561,-7831.28,2
2,55,RandTop,12,2,-15662.547,-7831.273,1
4,143,LatMutate,6,1,-7831.259,-7831.259,2
1,4,RandTop,12,2,-15662.477,-7831.239,1
1,22,Random,6,1,-7831.207,-7831.207,2
2,62,RandTop,6,1,-7831.2,-7831.2,2
6,190,Heredity,6,1,-7831.187,-7831.187,2
1,6,RandTop,12,2,-15662.336,-7831.168,1
5,151,Heredity,6,1,-7831.15,-7831.15,2
7,250,LatMutate,6,1,-7831.139,-7831.139,2
5,157,Random,6,1,-7831.138,-7831.138,8
5,164,RandTop,6,1,-7831.135,-7831.135,2
3,97,Random,6,1,-7831.124,-7831.124,2
2,61,Heredity,6,1,-7831.115,-7831.115,1
7,227,Heredity,6,1,-7831.104,-7831.104,38
7,243,RandTop,12,2,-15662.199,-7831.099,1
4,129,Random,6,1,-7831.093,-7831.093,8
1,5,Random,12,2,-15662.132,-7831.066,6
3,101,LatMutate,6,1,-7831.057,-7831.057,1
1,18,Random,12,2,-15662.067,-7831.033,1
6,197,RandTop,6,1,-7831.01,-7831.01,1
4,134,RandTop,6,1,-7831.009,-7831.009,38
5,182,LatMutate,6,1,-7830.992,-7830.992,2
3,82,Random,12,2,-15661.932,-7830.966,1
5,153,Heredity,6,1,-7830.954,-7830.954,8
6,219,Random,12,2,-15661.905,-7830.953,1
6,213,RandTop,12,2,-15661.89,-7830.945,1
4,141,RandTop,6,1,-7830.888,-7830.888,1
1,15,Random,6,1,-7830.883,-7830.883,1
1,1,RandTop,12,2,-15661.724,-7830.862,23
4,136,Random,6,1,-7830.858,-7830.858,8
5,179,LatMutate,6,1,-7830.822,-7830.822,2
6,208,keptBest,6,1,-7830.822,-7830.822,2
7,242,keptBest,6,1,-7830.822,-7830.822,2
1,9,Random,12,2,-15661.539,-7830.769,2
5,161,Random,6,1,-7830.73,-7830.73,1
5,159,RandTop,12,2,-15661.396,-7830.698,1
1,12,Random,6,1,-7830.698,-7830.698,1
3,90,Heredity,6,1,-7830.695,-7830.695,1
4,139,Random,6,1,-7830.678,-7830.678,1
7,226,Heredity,6,1,-7830.672,-7830.672,2
2,58,Random,6,1,-7830.67,-7830.67,8
4,111,RandTop,12,2,-15661.3,-7830.65,2
1,20,Random,6,1,-7830.639,-7830.639,1
5,158,Random,6,1,-7830.638,-7830.638,148
1,17,Random,6,1,-7830.625,-7830.625,1
7,244,keptBest,6,1,-7830.609,-7830.609,160
6,209,keptBest,6,1,-7830.609,-7830.609,160
5,156,Random,6,1,-7830.609,-7830.609,160
6,194,RandTop,6,1,-7830.601,-7830.601,1
5,166,RandTop,6,1,-7830.598,-7830.598,2
1,7,Random,12,2,-15661.115,-7830.558,1
7,234,Random,6,1,-7830.554,-7830.554,1
4,128,Random,6,1,-7830.528,-7830.528,1
7,245,keptBest,6,1,-7830.487,-7830.487,10
6,195,Random,6,1,-7830.487,-7830.487,10
1,2,Random,12,2,-15660.967,-7830.484,1
2,34,RandTop,12,2,-15660.932,-7830.466,8
1,11,Random,6,1,-7830.439,-7830.439,8
2,64,LatMutate,6,1,-7830.426,-7830.426,2
3,106,LatMutate,6,1,-7830.425,-7830.425,2
6,201,RandTop,6,1,-7830.269,-7830.269,1
4,140,RandTop,6,1,-7830.229,-7830.229,1
6,196,RandTop,6,1,-7830.216,-7830.216,8
7,233,Random,6,1,-7830.142,-7830.142,1
4,144,softmutate,12,2,-15659.025,-7829.512,2
7,249,softmutate,12,2,-15658.784,-7829.392,1
4,117,Heredity,12,2,-15658.634,-7829.317,2
3,72,Heredity,12,2,-15658.425,-7829.212,1
7,230,Heredity,12,2,-15658.414,-7829.207,1
2,66,softmutate,12,2,-15658.363,-7829.181,2
2,40,Heredity,12,2,-15658.296,-7829.148,2
2,63,softmutate,12,2,-15658.267,-7829.134,2
2,35,Heredity,12,2,-15658.256,-7829.128,2
2,38,Heredity,12,2,-15658.228,-7829.114,2
6,198,Heredity,12,2,-15658.192,-7829.096,2
4,119,Heredity,12,2,-15658.188,-7829.094,2
2,59,softmutate,12,2,-15658.124,-7829.062,2
4,124,Heredity,12,2,-15658.08,-7829.04,2
2,37,Heredity,12,2,-15658.046,-7829.023,1
3,83,Heredity,12,2,-15657.994,-7828.997,1
3,88,softmutate,12,2,-15657.944,-7828.972,2
3,74,Heredity,12,2,-15657.872,-7828.936,1
5,165,softmutate,12,2,-15657.795,-7828.898,1
2,36,Heredity,12,2,-15657.791,-7828.896,2
7,231,softmutate,12,2,-15657.745,-7828.873,2
4,110,Heredity,12,2,-15657.697,-7828.848,2
5,163,softmutate,12,2,-15657.684,-7828.842,2
3,84,Heredity,12,2,-15657.678,-7828.839,2
4,109,Heredity,12,2,-15657.504,-7828.752,1
3,85,Heredity,12,2,-15657.487,-7828.744,1
3,108,softmutate,12,2,-15657.304,-7828.652,1
3,75,softmutate,12,2,-15657.293,-7828.647,2
3,80,Heredity,12,2,-15657.208,-7828.604,2
4,125,Heredity,12,2,-15657.148,-7828.574,2
2,68,softmutate,12,2,-15657.037,-7828.518,2
4,145,softmutate,12,2,-15656.929,-7828.465,1
5,177,softmutate,12,2,-15656.925,-7828.463,1
4,114,Heredity,12,2,-15656.899,-7828.449,2
3,103,softmutate,12,2,-15656.87,-7828.435,2
2,67,softmutate,12,2,-15656.849,-7828.425,1
2,46,Heredity,12,2,-15656.728,-7828.364,1
7,254,softmutate,12,2,-15656.61,-7828.305,2
4,122,softmutate,12,2,-15656.599,-7828.299,2
3,107,softmutate,12,2,-15656.533,-7828.267,2
5,172,softmutate,12,2,-15656.496,-7828.248,2
7,257,softmutate,12,2,-15656.433,-7828.216,1
7,238,softmutate,12,2,-15656.421,-7828.21,1
5,162,Heredity,12,2,-15656.375,-7828.188,1
7,228,softmutate,12,2,-15656.367,-7828.184,2
3,95,softmutate,12,2,-15656.34,-7828.17,1
3,105,softmutate,12,2,-15656.118,-7828.059,2
2,70,softmutate,12,2,-15656.07,-7828.035,2
5,183,softmutate,12,2,-15655.99,-7827.995,1
3,76,Heredity,12,2,-15655.946,-7827.973,2
5,175,Heredity,12,2,-15655.864,-7827.932,1
2,41,Heredity,12,2,-15655.855,-7827.928,2
2,45,Heredity,12,2,-15655.819,-7827.91,1
4,146,softmutate,12,2,-15655.765,-7827.883,2
4,118,Heredity,12,2,-15655.755,-7827.877,1
2,65,softmutate,12,2,-15655.723,-7827.862,2
