Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
3,70,keptBest,12,2,-15233.041,-7616.52,2
4,142,Random,12,2,-15232.821,-7616.41,1
2,68,RandTop,12,2,-15232.615,-7616.307,1
1,22,Random,12,2,-15232.561,-7616.281,1
1,21,Random,12,2,-15232.537,-7616.268,1
2,67,Random,12,2,-15232.47,-7616.235,1
3,103,Random,12,2,-15232.292,-7616.146,1
4,141,RandTop,12,2,-15232.238,-7616.119,2
5,170,RandTop,12,2,-15232.094,-7616.047,1
2,63,Permutate,12,2,-15232.091,-7616.046,2
4,140,Random,12,2,-15232.039,-7616.02,1
3,105,Random,12,2,-15232.005,-7616.003,1
1,18,Random,12,2,-15231.975,-7615.988,1
1,31,Random,12,2,-15231.786,-7615.893,1
5,169,RandTop,12,2,-15231.713,-7615.856,3
3,100,Permutate,12,2,-15230.401,-7615.201,1
1,24,Random,12,2,-15230.253,-7615.127,11
2,34,keptBest,12,2,-15230.253,-7615.127,11
1,10,Random,6,1,-7615.116,-7615.116,12
2,40,keptBest,6,1,-7615.116,-7615.116,12
3,74,Permutate,6,1,-7615.1,-7615.1,12
3,75,Permutate,6,1,-7615.092,-7615.092,12
3,72,Heredity,6,1,-7615.08,-7615.08,12
2,43,RandTop,6,1,-7615.073,-7615.073,12
2,60,Permutate,12,2,-15230.094,-7615.047,2
4,121,Random,12,2,-15230.036,-7615.018,12
4,129,Permutate,12,2,-15230.009,-7615.005,2
4,108,keptBest,12,2,-15230.003,-7615.001,123
5,146,keptBest,12,2,-15230.003,-7615.001,123
2,35,keptBest,12,2,-15230.003,-7615.001,123
3,71,keptBest,12,2,-15230.003,-7615.001,123
1,26,RandTop,12,2,-15230.003,-7615.001,123
1,7,RandTop,6,1,-7615.0,-7615.0,12
2,41,keptBest,6,1,-7615.0,-7615.0,12
2,36,Heredity,6,1,-7614.986,-7614.986,12
2,37,Heredity,6,1,-7614.978,-7614.978,12
1,25,Random,12,2,-15229.938,-7614.969,99
1,16,RandTop,12,2,-15229.906,-7614.953,147
5,172,Random,12,2,-15229.868,-7614.934,1
5,174,RandTop,12,2,-15229.817,-7614.908,7
5,171,Random,12,2,-15229.814,-7614.907,129
3,102,RandTop,12,2,-15229.802,-7614.901,129
2,39,Heredity,6,1,-7614.899,-7614.899,12
5,176,Random,12,2,-15229.798,-7614.899,129
3,82,LatMutate,6,1,-7614.898,-7614.898,2
1,9,Random,6,1,-7614.897,-7614.897,12
