Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
2,49,Random,12,2,-14940.188,-7470.094,13
4,113,Heredity,6,1,-7469.997,-7469.997,6
6,201,keptBest,6,1,-7469.858,-7469.858,2
5,165,keptBest,6,1,-7469.858,-7469.858,2
4,127,keptBest,6,1,-7469.858,-7469.858,2
3,101,Permutate,6,1,-7469.858,-7469.858,2
5,149,Heredity,6,1,-7469.808,-7469.808,6
1,30,RandTop,6,1,-7469.798,-7469.798,1
2,53,keptBest,6,1,-7469.798,-7469.798,1
5,176,Permutate,6,1,-7469.795,-7469.795,1
6,191,Random,12,2,-14939.568,-7469.784,2
2,54,keptBest,6,1,-7469.783,-7469.783,47
6,204,keptBest,6,1,-7469.783,-7469.783,47
3,92,keptBest,6,1,-7469.783,-7469.783,47
4,128,keptBest,6,1,-7469.783,-7469.783,47
1,29,RandTop,6,1,-7469.783,-7469.783,47
5,166,keptBest,6,1,-7469.783,-7469.783,47
6,202,Random,6,1,-7469.777,-7469.777,1
6,210,RandTop,6,1,-7469.771,-7469.771,12
2,51,Heredity,6,1,-7469.768,-7469.768,1
4,118,Heredity,6,1,-7469.767,-7469.767,1
4,121,Heredity,6,1,-7469.766,-7469.766,6
3,80,RandTop,12,2,-14939.52,-7469.76,2
1,16,Random,6,1,-7469.748,-7469.748,8
2,55,keptBest,6,1,-7469.748,-7469.748,8
1,26,Random,6,1,-7469.723,-7469.723,2
1,15,Random,6,1,-7469.721,-7469.721,2
2,46,RandTop,12,2,-14939.41,-7469.705,2
4,140,LatMutate,6,1,-7469.702,-7469.702,2
6,208,Random,6,1,-7469.699,-7469.699,12
1,7,Random,12,2,-14939.392,-7469.696,1
4,120,RandTop,12,2,-14939.39,-7469.695,2
5,157,Heredity,6,1,-7469.693,-7469.693,10
1,17,Random,6,1,-7469.689,-7469.689,6
2,57,keptBest,6,1,-7469.689,-7469.689,6
1,6,Random,12,2,-14939.374,-7469.687,2
6,196,Heredity,6,1,-7469.683,-7469.683,1
5,178,LatMutate,6,1,-7469.674,-7469.674,10
3,88,Heredity,6,1,-7469.667,-7469.667,1
2,39,Permutate,12,2,-14939.323,-7469.661,1
3,73,Permutate,12,2,-14939.317,-7469.659,6
5,152,Permutate,12,2,-14939.316,-7469.658,2
3,90,Heredity,6,1,-7469.651,-7469.651,2
1,9,Random,12,2,-14939.286,-7469.643,12
6,207,Heredity,6,1,-7469.632,-7469.632,6
3,102,LatMutate,6,1,-7469.629,-7469.629,1
4,131,RandTop,12,2,-14939.251,-7469.625,1
4,119,Heredity,6,1,-7469.619,-7469.619,47
5,155,Heredity,6,1,-7469.618,-7469.618,1
1,4,RandTop,12,2,-14939.231,-7469.616,11
6,194,Permutate,12,2,-14939.224,-7469.612,1
4,124,Random,12,2,-14939.221,-7469.61,1
3,97,Random,6,1,-7469.601,-7469.601,1
5,171,Random,12,2,-14939.193,-7469.596,1
6,203,RandTop,12,2,-14939.191,-7469.595,1
4,115,Heredity,6,1,-7469.595,-7469.595,10
6,213,LatMutate,6,1,-7469.587,-7469.587,1
5,169,Random,6,1,-7469.582,-7469.582,12
3,81,Random,12,2,-14939.164,-7469.582,2
5,175,Random,6,1,-7469.575,-7469.575,1
5,167,keptBest,6,1,-7469.564,-7469.564,10
4,138,Permutate,6,1,-7469.564,-7469.564,10
6,205,keptBest,6,1,-7469.564,-7469.564,10
5,179,LatMutate,6,1,-7469.558,-7469.558,1
4,111,Heredity,6,1,-7469.555,-7469.555,1
1,3,RandTop,12,2,-14939.101,-7469.551,1
1,10,Random,12,2,-14939.1,-7469.55,2
4,112,Heredity,6,1,-7469.549,-7469.549,8
3,91,Heredity,6,1,-7469.548,-7469.548,1
5,159,Random,6,1,-7469.548,-7469.548,1
4,125,RandTop,12,2,-14939.097,-7469.548,8
4,110,Heredity,6,1,-7469.546,-7469.546,1
1,2,Random,12,2,-14939.071,-7469.536,1
3,82,Heredity,6,1,-7469.53,-7469.53,8
1,12,Random,12,2,-14939.051,-7469.526,2
3,93,keptBest,6,1,-7469.524,-7469.524,1
2,62,LatMutate,6,1,-7469.524,-7469.524,1
1,25,RandTop,6,1,-7469.519,-7469.519,8
3,79,RandTop,12,2,-14939.032,-7469.516,1
1,18,Random,12,2,-14939.03,-7469.515,2
2,65,RandTop,12,2,-14939.022,-7469.511,2
1,11,RandTop,12,2,-14939.014,-7469.507,7
1,32,RandTop,12,2,-14939.003,-7469.502,2
6,198,Heredity,6,1,-7469.501,-7469.501,2
6,214,LatMutate,6,1,-7469.5,-7469.5,12
6,197,Random,12,2,-14938.995,-7469.498,11
6,190,RandTop,12,2,-14938.992,-7469.496,1
5,168,keptBest,6,1,-7469.489,-7469.489,12
4,123,Random,6,1,-7469.489,-7469.489,12
6,206,keptBest,6,1,-7469.489,-7469.489,12
1,21,RandTop,12,2,-14938.962,-7469.481,1
2,64,LatMutate,6,1,-7469.479,-7469.479,2
4,132,Permutate,6,1,-7469.477,-7469.477,1
3,95,Random,6,1,-7469.472,-7469.472,1
5,163,RandTop,12,2,-14938.911,-7469.456,2
6,193,RandTop,12,2,-14938.903,-7469.452,2
6,212,LatMutate,6,1,-7469.422,-7469.422,10
4,109,Heredity,6,1,-7469.399,-7469.399,1
3,96,keptBest,6,1,-7469.396,-7469.396,162
4,129,keptBest,6,1,-7469.396,-7469.396,162
2,52,Random,6,1,-7469.396,-7469.396,162
3,99,LatMutate,6,1,-7469.384,-7469.384,1
3,106,RandTop,6,1,-7469.374,-7469.374,10
4,130,keptBest,6,1,-7469.374,-7469.374,10
3,89,Heredity,6,1,-7469.357,-7469.357,1
3,100,RandTop,6,1,-7469.349,-7469.349,2
1,19,Random,12,2,-14938.679,-7469.34,1
5,154,Heredity,6,1,-7469.337,-7469.337,1
3,76,keptBest,12,2,-14938.669,-7469.335,10
2,36,RandTop,12,2,-14938.669,-7469.335,10
3,105,LatMutate,6,1,-7469.33,-7469.33,1
4,136,LatMutate,6,1,-7469.326,-7469.326,6
2,45,RandTop,12,2,-14938.61,-7469.305,2
1,31,RandTop,6,1,-7469.299,-7469.299,1
5,145,Heredity,6,1,-7469.294,-7469.294,1
2,60,Random,6,1,-7469.276,-7469.276,5
2,58,RandTop,6,1,-7469.257,-7469.257,1
