Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
3,85,Permutate,12,2,-15297.935,-7648.967,12
5,154,Permutate,12,2,-15297.912,-7648.956,12
5,159,Permutate,12,2,-15297.784,-7648.892,1
3,73,keptBest,6,1,-7648.885,-7648.885,148
3,92,Permutate,12,2,-15297.764,-7648.882,2
4,128,Permutate,12,2,-15297.735,-7648.868,1
1,1,Random,6,1,-7648.831,-7648.831,12
3,89,LatMutate,6,1,-7648.803,-7648.803,1
2,57,RandTop,12,2,-15297.512,-7648.756,2
2,39,keptBest,6,1,-7648.746,-7648.746,2
1,6,Random,6,1,-7648.746,-7648.746,2
4,114,Heredity,6,1,-7648.744,-7648.744,2
1,23,RandTop,12,2,-15297.482,-7648.741,2
4,108,Heredity,6,1,-7648.72,-7648.72,2
5,152,RandTop,6,1,-7648.715,-7648.715,12
1,25,RandTop,12,2,-15297.354,-7648.677,1
3,84,LatMutate,6,1,-7648.667,-7648.667,2
4,115,Random,6,1,-7648.663,-7648.663,2
4,120,Random,6,1,-7648.658,-7648.658,148
2,68,Random,12,2,-15297.303,-7648.651,2
1,19,Random,12,2,-15297.271,-7648.636,1
3,83,RandTop,6,1,-7648.624,-7648.624,2
4,129,Random,12,2,-15297.222,-7648.611,11
1,15,RandTop,12,2,-15297.215,-7648.607,2
1,3,Random,6,1,-7648.605,-7648.605,12
4,125,LatMutate,6,1,-7648.597,-7648.597,2
1,28,RandTop,12,2,-15297.189,-7648.594,1
4,109,Heredity,6,1,-7648.578,-7648.578,12
1,2,Random,6,1,-7648.577,-7648.577,2
1,30,Random,12,2,-15297.133,-7648.566,1
1,27,Random,12,2,-15297.107,-7648.554,2
1,16,RandTop,12,2,-15297.1,-7648.55,10
2,67,Random,12,2,-15297.076,-7648.538,5
1,13,RandTop,12,2,-15297.05,-7648.525,10
5,166,Random,12,2,-15297.048,-7648.524,1
1,22,RandTop,12,2,-15296.985,-7648.493,4
1,24,RandTop,12,2,-15296.97,-7648.485,4
4,110,Heredity,6,1,-7648.46,-7648.46,148
1,20,Random,12,2,-15296.911,-7648.456,1
4,135,Random,12,2,-15296.882,-7648.441,2
3,80,Random,6,1,-7648.439,-7648.439,2
3,82,RandTop,6,1,-7648.4,-7648.4,12
1,21,Random,12,2,-15296.788,-7648.394,2
1,31,Random,12,2,-15296.753,-7648.377,1
5,179,Random,12,2,-15296.687,-7648.343,2
5,147,Random,6,1,-7648.338,-7648.338,2
5,175,Random,12,2,-15296.655,-7648.327,2
5,155,LatMutate,6,1,-7648.32,-7648.32,2
1,7,RandTop,6,1,-7648.317,-7648.317,1
1,4,Random,6,1,-7648.312,-7648.312,2
5,172,RandTop,12,2,-15296.604,-7648.302,2
4,117,Heredity,6,1,-7648.287,-7648.287,2
4,131,RandTop,12,2,-15296.465,-7648.233,1
4,136,Random,12,2,-15296.46,-7648.23,1
5,181,RandTop,12,2,-15296.434,-7648.217,1
5,156,RandTop,12,2,-15296.412,-7648.206,2
2,69,RandTop,12,2,-15296.384,-7648.192,1
3,79,LatMutate,6,1,-7648.162,-7648.162,2
4,113,keptBest,6,1,-7648.162,-7648.162,2
3,78,RandTop,6,1,-7648.153,-7648.153,2
1,11,Random,6,1,-7648.093,-7648.093,2
5,150,Heredity,6,1,-7648.078,-7648.078,2
1,32,Random,12,2,-15296.107,-7648.054,1
4,107,keptBest,12,2,-15296.06,-7648.03,1
3,102,Random,12,2,-15296.06,-7648.03,1
5,180,Random,12,2,-15296.046,-7648.023,1
5,169,Random,12,2,-15296.037,-7648.019,1
4,124,LatMutate,6,1,-7648.017,-7648.017,2
1,18,RandTop,12,2,-15296.033,-7648.016,2
4,121,Random,6,1,-7647.94,-7647.94,2
