Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
6,202,keptBest,6,1,-3352.155,-3352.155,1
5,169,Random,12,2,-6704.22,-3352.11,6
7,236,Random,6,1,-3352.106,-3352.106,5
7,250,LatMutate,6,1,-3352.073,-3352.073,2
4,111,keptBest,12,2,-6704.075,-3352.037,2
8,263,Heredity,6,1,-3351.938,-3351.938,2
3,88,keptBest,6,1,-3351.935,-3351.935,1
2,63,Permutate,6,1,-3351.935,-3351.935,1
7,221,Heredity,6,1,-3351.923,-3351.923,2
1,13,RandTop,12,2,-6703.844,-3351.922,2
2,42,keptBest,12,2,-6703.844,-3351.922,2
8,256,Heredity,6,1,-3351.917,-3351.917,2
5,179,RandTop,6,1,-3351.91,-3351.91,1
7,231,Heredity,6,1,-3351.91,-3351.91,2
6,206,keptBest,6,1,-3351.906,-3351.906,6
8,275,keptBest,6,1,-3351.906,-3351.906,6
5,178,LatMutate,6,1,-3351.906,-3351.906,6
7,242,keptBest,6,1,-3351.906,-3351.906,6
8,265,Heredity,6,1,-3351.904,-3351.904,2
3,99,LatMutate,6,1,-3351.902,-3351.902,2
1,2,Random,12,2,-6703.8,-3351.9,127
7,218,keptBest,12,2,-6703.8,-3351.9,127
6,181,keptBest,12,2,-6703.8,-3351.9,127
8,255,keptBest,12,2,-6703.8,-3351.9,127
3,73,keptBest,12,2,-6703.8,-3351.9,127
5,148,keptBest,12,2,-6703.8,-3351.9,127
2,43,keptBest,12,2,-6703.8,-3351.9,127
4,112,keptBest,12,2,-6703.8,-3351.9,127
6,207,RandTop,6,1,-3351.885,-3351.885,1
1,14,Random,6,1,-3351.884,-3351.884,2
4,107,Permutate,12,2,-6703.763,-3351.881,1
8,270,Random,6,1,-3351.878,-3351.878,2
3,86,RandTop,12,2,-6703.756,-3351.878,2
4,115,keptBest,12,2,-6703.756,-3351.878,2
1,6,Random,12,2,-6703.74,-3351.87,1
7,223,Heredity,12,2,-6703.735,-3351.868,11
2,62,LatMutate,6,1,-3351.857,-3351.857,2
4,116,keptBest,12,2,-6703.705,-3351.853,1
3,104,RandTop,12,2,-6703.705,-3351.853,1
8,260,Heredity,6,1,-3351.842,-3351.842,10
2,56,Heredity,6,1,-3351.836,-3351.836,8
6,216,softmutate,6,1,-3351.826,-3351.826,1
6,212,LatMutate,6,1,-3351.826,-3351.826,1
5,171,Random,6,1,-3351.813,-3351.813,2
1,19,Random,6,1,-3351.803,-3351.803,1
7,252,RandTop,12,2,-6703.606,-3351.803,2
3,94,Heredity,6,1,-3351.797,-3351.797,1
1,15,Random,12,2,-6703.547,-3351.774,2
8,290,Random,12,2,-6703.492,-3351.746,1
1,28,RandTop,6,1,-3351.745,-3351.745,2
8,262,Heredity,6,1,-3351.743,-3351.743,1
5,162,RandTop,12,2,-6703.473,-3351.737,9
2,51,RandTop,12,2,-6703.471,-3351.735,1
7,243,keptBest,6,1,-3351.733,-3351.733,10
6,208,keptBest,6,1,-3351.733,-3351.733,10
5,152,Heredity,6,1,-3351.733,-3351.733,10
8,277,keptBest,6,1,-3351.733,-3351.733,10
3,71,Heredity,12,2,-6703.467,-3351.733,1
1,7,Random,12,2,-6703.411,-3351.706,1
2,46,RandTop,12,2,-6703.361,-3351.681,1
3,81,Heredity,6,1,-3351.665,-3351.665,1
8,282,Random,12,2,-6703.306,-3351.653,2
3,82,Heredity,6,1,-3351.652,-3351.652,2
5,159,Random,12,2,-6703.293,-3351.647,1
8,271,Heredity,6,1,-3351.638,-3351.638,2
5,155,Heredity,6,1,-3351.632,-3351.632,1
2,49,Heredity,6,1,-3351.61,-3351.61,1
6,203,RandTop,12,2,-6703.218,-3351.609,1
3,102,Random,6,1,-3351.603,-3351.603,2
4,132,RandTop,6,1,-3351.601,-3351.601,1
5,151,Heredity,6,1,-3351.594,-3351.594,2
4,129,Heredity,6,1,-3351.594,-3351.594,1
7,245,Permutate,6,1,-3351.576,-3351.576,1
3,72,Heredity,12,2,-6703.147,-3351.573,1
1,9,Random,12,2,-6703.141,-3351.57,2
5,176,Random,6,1,-3351.561,-3351.561,1
8,257,Heredity,6,1,-3351.554,-3351.554,6
7,254,Random,12,2,-6703.088,-3351.544,2
3,85,Heredity,6,1,-3351.537,-3351.537,1
4,141,Random,12,2,-6703.048,-3351.524,1
6,215,LatMutate,6,1,-3351.521,-3351.521,1
7,237,Permutate,12,2,-6703.025,-3351.512,1
4,131,Random,12,2,-6703.015,-3351.508,1
5,161,Heredity,12,2,-6703.011,-3351.505,2
3,89,Random,12,2,-6703.009,-3351.504,1
8,268,RandTop,12,2,-6703.007,-3351.504,2
4,126,Heredity,6,1,-3351.499,-3351.499,1
8,259,Heredity,6,1,-3351.489,-3351.489,1
