Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
5,169,keptBest,6,1,-1506.803,-1506.803,148
7,220,Permutate,12,2,-3013.328,-1506.664,2
5,146,Heredity,12,2,-3013.307,-1506.654,11
6,205,Permutate,6,1,-1506.497,-1506.497,2
8,282,keptBest,6,1,-1506.483,-1506.483,166
5,171,keptBest,6,1,-1506.483,-1506.483,166
7,244,Permutate,6,1,-1506.483,-1506.483,166
6,206,keptBest,6,1,-1506.483,-1506.483,166
4,129,Permutate,6,1,-1506.483,-1506.483,166
7,246,keptBest,6,1,-1506.483,-1506.483,166
8,286,Permutate,6,1,-1506.482,-1506.482,166
8,289,LatMutate,6,1,-1506.472,-1506.472,12
3,104,LatMutate,6,1,-1506.469,-1506.469,166
4,130,keptBest,6,1,-1506.469,-1506.469,166
6,197,Permutate,12,2,-3012.932,-1506.466,2
7,227,keptBest,12,2,-3012.932,-1506.466,2
8,264,keptBest,12,2,-3012.932,-1506.466,2
8,257,Permutate,12,2,-3012.858,-1506.429,1
8,272,Permutate,12,2,-3012.848,-1506.424,2
7,222,Permutate,12,2,-3012.762,-1506.381,2
7,221,Heredity,12,2,-3012.75,-1506.375,2
8,265,keptBest,12,2,-3012.75,-1506.375,2
8,292,softmutate,12,2,-3012.658,-1506.329,12
6,190,keptBest,12,2,-3012.656,-1506.328,2
5,153,keptBest,12,2,-3012.656,-1506.328,2
4,108,Heredity,12,2,-3012.656,-1506.328,2
7,242,Permutate,12,2,-3012.612,-1506.306,12
4,132,Heredity,12,2,-3012.565,-1506.282,11
8,268,keptBest,12,2,-3012.562,-1506.281,1
7,228,RandTop,12,2,-3012.562,-1506.281,1
5,155,keptBest,12,2,-3012.441,-1506.22,11
4,116,keptBest,12,2,-3012.441,-1506.22,11
3,75,keptBest,12,2,-3012.441,-1506.22,11
6,191,keptBest,12,2,-3012.441,-1506.22,11
7,229,keptBest,12,2,-3012.441,-1506.22,11
2,36,Heredity,12,2,-3012.441,-1506.22,11
8,269,Heredity,12,2,-3012.348,-1506.174,10
5,145,Permutate,12,2,-3012.314,-1506.157,1
7,254,LatMutate,6,1,-1506.156,-1506.156,44
5,156,keptBest,12,2,-3012.297,-1506.148,1
3,73,Random,12,2,-3012.297,-1506.148,1
4,117,keptBest,12,2,-3012.297,-1506.148,1
6,188,Permutate,12,2,-3012.221,-1506.11,2
5,149,Heredity,12,2,-3012.195,-1506.097,2
5,154,Heredity,12,2,-3012.063,-1506.032,2
7,224,Heredity,12,2,-3012.06,-1506.03,2
4,118,keptBest,12,2,-3011.991,-1505.996,2
3,76,keptBest,12,2,-3011.991,-1505.996,2
8,285,Heredity,12,2,-3011.992,-1505.996,2
2,68,softmutate,12,2,-3011.991,-1505.996,2
3,106,softmutate,12,2,-3011.97,-1505.985,2
1,2,RandTop,12,2,-3011.961,-1505.98,121
2,40,keptBest,12,2,-3011.961,-1505.98,121
5,152,Permutate,12,2,-3011.911,-1505.955,2
4,112,Permutate,12,2,-3011.91,-1505.955,2
4,131,softmutate,12,2,-3011.845,-1505.923,2
4,121,Heredity,12,2,-3011.825,-1505.912,2
6,219,softmutate,12,2,-3011.81,-1505.905,2
3,105,Heredity,12,2,-3011.81,-1505.905,1
4,141,LatMutate,6,1,-1505.905,-1505.905,1
2,65,RandTop,12,2,-3011.802,-1505.901,2
3,77,keptBest,12,2,-3011.802,-1505.901,2
4,119,keptBest,12,2,-3011.802,-1505.901,2
6,215,Heredity,12,2,-3011.778,-1505.889,1
6,199,Heredity,6,1,-1505.864,-1505.864,2
3,91,Heredity,6,1,-1505.86,-1505.86,2
6,210,LatMutate,6,1,-1505.855,-1505.855,2
8,262,Heredity,12,2,-3011.701,-1505.85,2
5,173,RandTop,6,1,-1505.822,-1505.822,2
2,55,keptBest,6,1,-1505.82,-1505.82,2
3,92,keptBest,6,1,-1505.82,-1505.82,2
1,21,RandTop,6,1,-1505.82,-1505.82,2
3,98,Permutate,12,2,-3011.611,-1505.805,2
2,46,Heredity,6,1,-1505.802,-1505.802,2
3,93,keptBest,6,1,-1505.802,-1505.802,2
7,235,Random,6,1,-1505.799,-1505.799,2
3,85,Heredity,6,1,-1505.798,-1505.798,2
4,111,Permutate,12,2,-3011.589,-1505.794,1
6,217,softmutate,12,2,-3011.543,-1505.771,2
3,72,Heredity,12,2,-3011.514,-1505.757,2
5,179,softmutate,12,2,-3011.461,-1505.731,2
2,49,Random,12,2,-3011.447,-1505.724,1
6,195,softmutate,12,2,-3011.424,-1505.712,1
7,256,softmutate,12,2,-3011.422,-1505.711,2
7,237,RandTop,6,1,-1505.689,-1505.689,10
3,78,Heredity,12,2,-3011.335,-1505.668,2
8,277,Random,6,1,-1505.611,-1505.611,2
1,10,Random,6,1,-1505.609,-1505.609,2
2,56,keptBest,6,1,-1505.609,-1505.609,2
3,107,softmutate,12,2,-3011.217,-1505.608,2
3,95,Permutate,6,1,-1505.607,-1505.607,2
1,26,RandTop,12,2,-3011.205,-1505.602,1
8,275,Random,6,1,-1505.599,-1505.599,6
4,115,RandTop,12,2,-3011.196,-1505.598,2
2,42,keptBest,12,2,-3011.192,-1505.596,11
1,15,Random,12,2,-3011.192,-1505.596,11
