Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
2,53,keptBest,6,1,-2743.555,-2743.555,164
3,83,Heredity,12,2,-5486.194,-2743.097,2
3,85,softmutate,12,2,-5485.823,-2742.911,8
3,77,Heredity,12,2,-5485.699,-2742.85,2
3,97,RandTop,6,1,-2742.755,-2742.755,12
5,165,keptBest,6,1,-2742.755,-2742.755,12
4,127,keptBest,6,1,-2742.755,-2742.755,12
5,170,LatMutate,6,1,-2742.751,-2742.751,65
4,136,LatMutate,6,1,-2742.717,-2742.717,12
4,134,LatMutate,6,1,-2742.717,-2742.717,12
5,166,keptBest,6,1,-2742.717,-2742.717,12
1,13,Random,6,1,-2742.702,-2742.702,2
2,54,keptBest,6,1,-2742.702,-2742.702,2
1,3,Random,6,1,-2742.683,-2742.683,2
2,55,keptBest,6,1,-2742.683,-2742.683,2
3,87,keptBest,6,1,-2742.683,-2742.683,2
3,95,Permutate,6,1,-2742.683,-2742.683,2
3,94,Permutate,6,1,-2742.682,-2742.682,2
3,92,Permutate,6,1,-2742.681,-2742.681,2
5,173,Permutate,6,1,-2742.675,-2742.675,2
5,157,Heredity,6,1,-2742.653,-2742.653,2
4,141,softmutate,12,2,-5485.281,-2742.641,65
4,132,Permutate,6,1,-2742.641,-2742.641,2
5,155,Random,6,1,-2742.623,-2742.623,191
3,101,LatMutate,6,1,-2742.613,-2742.613,10
4,128,keptBest,6,1,-2742.613,-2742.613,10
4,123,Random,6,1,-2742.594,-2742.594,38
3,79,Random,6,1,-2742.576,-2742.576,2
5,174,LatMutate,6,1,-2742.532,-2742.532,2
5,143,Permutate,12,2,-5485.043,-2742.522,2
5,161,Random,12,2,-5485.015,-2742.508,1
4,108,Permutate,12,2,-5484.99,-2742.495,1
5,159,softmutate,12,2,-5484.959,-2742.479,1
5,178,softmutate,12,2,-5484.936,-2742.468,10
1,10,Random,12,2,-5484.914,-2742.457,1
2,39,keptBest,12,2,-5484.914,-2742.457,1
1,28,RandTop,6,1,-2742.401,-2742.401,2
2,57,keptBest,6,1,-2742.397,-2742.397,69
3,89,keptBest,6,1,-2742.397,-2742.397,69
1,1,Random,6,1,-2742.397,-2742.397,69
5,167,keptBest,6,1,-2742.397,-2742.397,69
4,129,keptBest,6,1,-2742.397,-2742.397,69
2,52,RandTop,6,1,-2742.391,-2742.391,12
1,20,RandTop,6,1,-2742.39,-2742.39,12
2,50,Random,6,1,-2742.389,-2742.389,12
1,29,RandTop,6,1,-2742.386,-2742.386,2
5,177,softmutate,12,2,-5484.667,-2742.334,2
4,142,softmutate,12,2,-5484.611,-2742.305,2
4,137,LatMutate,6,1,-2742.275,-2742.275,2
5,148,Permutate,12,2,-5484.518,-2742.259,1
5,156,Random,12,2,-5484.514,-2742.257,69
1,5,Random,6,1,-2742.252,-2742.252,42
5,151,Heredity,12,2,-5484.428,-2742.214,2
3,82,Random,6,1,-2742.197,-2742.197,1
3,99,Random,12,2,-5484.348,-2742.174,9
1,9,RandTop,12,2,-5484.321,-2742.161,2
4,106,Heredity,12,2,-5484.319,-2742.16,12
1,31,Random,12,2,-5484.317,-2742.158,2
5,160,Random,12,2,-5484.26,-2742.13,1
3,84,Random,12,2,-5484.24,-2742.12,1
2,49,Heredity,6,1,-2742.096,-2742.096,8
2,33,Permutate,12,2,-5484.165,-2742.082,1
4,120,RandTop,12,2,-5484.143,-2742.071,4
