Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
16,554,Heredity,12,2,-2817.942,-1408.971,2
14,485,keptBest,12,2,-2817.507,-1408.753,12
16,559,keptBest,12,2,-2817.507,-1408.753,12
15,523,keptBest,12,2,-2817.507,-1408.753,12
13,459,Heredity,12,2,-2817.507,-1408.753,12
17,598,keptBest,12,2,-2817.507,-1408.753,12
18,639,keptBest,12,2,-2817.507,-1408.753,12
20,713,keptBest,12,2,-2817.507,-1408.753,12
19,678,keptBest,12,2,-2817.507,-1408.753,12
11,382,keptBest,12,2,-2817.486,-1408.743,1
12,414,keptBest,12,2,-2817.486,-1408.743,1
14,487,keptBest,12,2,-2817.486,-1408.743,1
13,450,keptBest,12,2,-2817.486,-1408.743,1
15,524,keptBest,12,2,-2817.486,-1408.743,1
10,366,softmutate,12,2,-2817.486,-1408.743,1
8,267,keptBest,12,2,-2817.399,-1408.699,2
7,228,keptBest,12,2,-2817.399,-1408.699,2
6,201,softmutate,12,2,-2817.399,-1408.699,2
14,489,keptBest,12,2,-2817.399,-1408.699,2
12,416,keptBest,12,2,-2817.399,-1408.699,2
9,305,keptBest,12,2,-2817.399,-1408.699,2
13,451,keptBest,12,2,-2817.399,-1408.699,2
10,339,keptBest,12,2,-2817.399,-1408.699,2
11,384,keptBest,12,2,-2817.399,-1408.699,2
15,526,keptBest,12,2,-2817.399,-1408.699,2
7,236,Heredity,12,2,-2817.318,-1408.659,2
8,269,keptBest,12,2,-2817.318,-1408.659,2
9,306,keptBest,12,2,-2817.318,-1408.659,2
10,340,keptBest,12,2,-2817.318,-1408.659,2
14,479,Heredity,12,2,-2817.267,-1408.633,2
13,444,Heredity,12,2,-2817.185,-1408.592,2
16,570,Permutate,12,2,-2817.18,-1408.59,1
13,443,Heredity,12,2,-2817.178,-1408.589,2
10,335,Heredity,12,2,-2817.107,-1408.553,2
20,719,Heredity,12,2,-2817.085,-1408.542,3
18,640,keptBest,12,2,-2817.023,-1408.511,10
20,714,keptBest,12,2,-2817.023,-1408.511,10
17,618,softmutate,12,2,-2817.023,-1408.511,10
19,680,keptBest,12,2,-2817.023,-1408.511,10
14,481,Heredity,12,2,-2816.986,-1408.493,2
10,348,Permutate,12,2,-2816.921,-1408.46,2
3,71,keptBest,12,2,-2816.858,-1408.429,2
4,108,keptBest,12,2,-2816.858,-1408.429,2
2,70,softmutate,12,2,-2816.858,-1408.429,2
5,153,keptBest,12,2,-2816.858,-1408.429,2
6,185,keptBest,12,2,-2816.858,-1408.429,2
19,700,softmutate,12,2,-2816.854,-1408.427,10
19,686,Permutate,12,2,-2816.841,-1408.42,1
14,490,keptBest,12,2,-2816.823,-1408.411,2
12,420,Heredity,12,2,-2816.823,-1408.411,2
13,452,keptBest,12,2,-2816.823,-1408.411,2
10,341,keptBest,12,2,-2816.815,-1408.408,4
7,223,Random,12,2,-2816.815,-1408.408,4
9,307,keptBest,12,2,-2816.815,-1408.408,4
8,270,keptBest,12,2,-2816.815,-1408.408,4
16,567,Permutate,12,2,-2816.815,-1408.407,1
19,681,keptBest,12,2,-2816.756,-1408.378,1
18,632,Heredity,12,2,-2816.756,-1408.378,1
18,633,Heredity,12,2,-2816.734,-1408.367,2
18,659,Permutate,12,2,-2816.724,-1408.362,1
14,501,keptBest,6,1,-1408.347,-1408.347,8
18,650,keptBest,6,1,-1408.347,-1408.347,8
5,166,keptBest,6,1,-1408.347,-1408.347,8
17,613,keptBest,6,1,-1408.347,-1408.347,8
10,354,keptBest,6,1,-1408.347,-1408.347,8
20,725,keptBest,6,1,-1408.347,-1408.347,8
11,391,keptBest,6,1,-1408.347,-1408.347,8
6,202,keptBest,6,1,-1408.347,-1408.347,8
15,538,keptBest,6,1,-1408.347,-1408.347,8
4,136,Permutate,6,1,-1408.347,-1408.347,8
8,278,keptBest,6,1,-1408.347,-1408.347,8
13,465,keptBest,6,1,-1408.347,-1408.347,8
16,575,keptBest,6,1,-1408.347,-1408.347,8
7,241,keptBest,6,1,-1408.347,-1408.347,8
9,317,keptBest,6,1,-1408.347,-1408.347,8
12,428,keptBest,6,1,-1408.347,-1408.347,8
19,687,keptBest,6,1,-1408.347,-1408.347,8
19,697,softmutate,12,2,-2816.69,-1408.345,6
4,138,Permutate,6,1,-1408.344,-1408.344,8
18,651,Permutate,6,1,-1408.343,-1408.343,8
8,274,Heredity,6,1,-1408.338,-1408.338,8
8,259,Heredity,12,2,-2816.654,-1408.327,2
17,593,Heredity,12,2,-2816.642,-1408.321,2
5,175,softmutate,12,2,-2816.639,-1408.32,1
9,294,Heredity,12,2,-2816.635,-1408.318,2
13,456,softmutate,12,2,-2816.605,-1408.303,1
13,448,Heredity,12,2,-2816.579,-1408.29,2
9,327,softmutate,12,2,-2816.567,-1408.284,31
10,343,keptBest,12,2,-2816.567,-1408.284,31
18,654,softmutate,12,2,-2816.547,-1408.274,10
15,537,Permutate,12,2,-2816.518,-1408.259,1
11,389,Permutate,12,2,-2816.51,-1408.255,2
9,311,Permutate,12,2,-2816.511,-1408.255,2
15,544,softmutate,12,2,-2816.509,-1408.255,10
9,297,Permutate,12,2,-2816.51,-1408.255,2
9,295,Heredity,12,2,-2816.493,-1408.247,2
20,705,Heredity,12,2,-2816.474,-1408.237,2
5,151,Heredity,12,2,-2816.462,-1408.231,2
20,721,Permutate,12,2,-2816.455,-1408.228,10
12,423,softmutate,12,2,-2816.448,-1408.224,10
4,129,keptBest,6,1,-1408.217,-1408.217,1
3,99,Permutate,6,1,-1408.217,-1408.217,1
18,645,Permutate,12,2,-2816.419,-1408.21,4
17,594,Permutate,12,2,-2816.42,-1408.21,4
15,542,softmutate,12,2,-2816.333,-1408.166,10
19,667,Heredity,12,2,-2816.326,-1408.163,2
20,715,keptBest,12,2,-2816.326,-1408.163,2
13,449,Heredity,12,2,-2816.323,-1408.162,1
15,519,Heredity,12,2,-2816.307,-1408.154,11
