Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
8,267,keptBest,12,2,-3721.784,-1860.892,65
9,304,keptBest,12,2,-3721.583,-1860.792,2
8,268,keptBest,12,2,-3721.572,-1860.786,147
9,331,softmutate,12,2,-3721.231,-1860.615,2
1,3,Random,12,2,-3721.096,-1860.548,65
2,33,keptBest,12,2,-3721.096,-1860.548,65
2,50,Permutate,12,2,-3721.076,-1860.538,1
9,309,Permutate,12,2,-3721.041,-1860.521,2
7,235,Permutate,12,2,-3720.936,-1860.468,1
4,139,LatMutate,6,1,-1860.449,-1860.449,2
9,316,keptBest,6,1,-1860.449,-1860.449,2
8,278,keptBest,6,1,-1860.449,-1860.449,2
5,169,keptBest,6,1,-1860.449,-1860.449,2
7,244,keptBest,6,1,-1860.449,-1860.449,2
6,203,keptBest,6,1,-1860.449,-1860.449,2
6,215,Permutate,12,2,-3720.809,-1860.405,2
8,272,Permutate,12,2,-3720.803,-1860.402,2
4,119,keptBest,12,2,-3720.785,-1860.393,2
5,150,keptBest,12,2,-3720.785,-1860.393,2
3,104,softmutate,12,2,-3720.785,-1860.393,2
3,78,Heredity,12,2,-3720.739,-1860.369,2
6,195,Heredity,12,2,-3720.716,-1860.358,2
4,117,Heredity,12,2,-3720.704,-1860.352,2
9,307,Heredity,12,2,-3720.643,-1860.321,2
2,55,keptBest,6,1,-1860.312,-1860.312,12
3,93,keptBest,6,1,-1860.312,-1860.312,12
1,17,Random,6,1,-1860.312,-1860.312,12
5,152,softmutate,12,2,-3720.623,-1860.311,1
2,68,Heredity,12,2,-3720.563,-1860.281,2
5,171,keptBest,6,1,-1860.255,-1860.255,12
4,133,Permutate,6,1,-1860.255,-1860.255,12
7,245,keptBest,6,1,-1860.255,-1860.255,12
8,283,keptBest,6,1,-1860.255,-1860.255,12
6,204,keptBest,6,1,-1860.255,-1860.255,12
9,321,keptBest,6,1,-1860.255,-1860.255,12
4,130,keptBest,6,1,-1860.248,-1860.248,2
3,97,LatMutate,6,1,-1860.248,-1860.248,2
8,293,softmutate,12,2,-3720.491,-1860.246,2
9,324,softmutate,12,2,-3720.487,-1860.243,2
7,252,softmutate,12,2,-3720.443,-1860.222,2
8,271,Permutate,12,2,-3720.438,-1860.219,2
6,199,Random,12,2,-3720.438,-1860.219,2
5,180,LatMutate,6,1,-1860.208,-1860.208,3
3,94,keptBest,6,1,-1860.206,-1860.206,2
5,172,keptBest,6,1,-1860.206,-1860.206,2
4,132,keptBest,6,1,-1860.206,-1860.206,2
1,20,Random,6,1,-1860.206,-1860.206,2
2,56,keptBest,6,1,-1860.206,-1860.206,2
3,102,Random,6,1,-1860.186,-1860.186,8
7,246,RandTop,6,1,-1860.184,-1860.184,1
4,143,softmutate,12,2,-3720.352,-1860.176,2
8,261,Heredity,12,2,-3720.349,-1860.174,2
5,178,LatMutate,6,1,-1860.16,-1860.16,2
4,120,keptBest,12,2,-3720.273,-1860.136,2
3,70,Heredity,12,2,-3720.273,-1860.136,2
7,236,Random,12,2,-3720.27,-1860.135,2
5,179,LatMutate,6,1,-1860.124,-1860.124,2
6,212,Permutate,6,1,-1860.124,-1860.124,1
5,175,Permutate,6,1,-1860.123,-1860.123,1
5,160,Heredity,6,1,-1860.103,-1860.103,2
9,326,Random,6,1,-1860.097,-1860.097,8
5,177,RandTop,6,1,-1860.085,-1860.085,1
5,170,softmutate,12,2,-3720.171,-1860.085,1
9,298,Heredity,12,2,-3720.153,-1860.077,2
1,2,RandTop,12,2,-3720.133,-1860.067,1
2,34,keptBest,12,2,-3720.133,-1860.067,1
6,185,Heredity,12,2,-3720.112,-1860.056,2
1,22,Random,12,2,-3720.113,-1860.056,1
9,303,Heredity,12,2,-3720.106,-1860.053,2
1,6,RandTop,12,2,-3720.085,-1860.042,1
4,111,Heredity,12,2,-3720.076,-1860.038,2
5,182,softmutate,12,2,-3720.06,-1860.03,1
4,125,Random,6,1,-1860.02,-1860.02,2
8,269,keptBest,12,2,-3720.037,-1860.018,11
5,149,Heredity,12,2,-3720.037,-1860.018,11
8,290,LatMutate,6,1,-1860.018,-1860.018,2
6,192,keptBest,12,2,-3720.037,-1860.018,11
8,264,Heredity,12,2,-3720.037,-1860.018,11
7,233,keptBest,12,2,-3720.037,-1860.018,11
7,248,Heredity,12,2,-3720.022,-1860.011,1
7,226,Heredity,12,2,-3720.011,-1860.006,1
4,116,Heredity,12,2,-3720.005,-1860.003,1
3,72,Permutate,12,2,-3720.0,-1860.0,2
3,74,Heredity,12,2,-3719.992,-1859.996,11
5,157,Heredity,6,1,-1859.992,-1859.992,1
4,142,softmutate,12,2,-3719.981,-1859.991,2
1,21,Random,6,1,-1859.991,-1859.991,1
4,128,Permutate,12,2,-3719.969,-1859.984,1
7,256,softmutate,12,2,-3719.965,-1859.983,12
7,221,Heredity,12,2,-3719.965,-1859.983,2
8,287,RandTop,6,1,-1859.977,-1859.977,10
4,108,Heredity,12,2,-3719.93,-1859.965,1
7,251,Permutate,12,2,-3719.903,-1859.951,1
3,81,Random,12,2,-3719.89,-1859.945,2
6,206,RandTop,12,2,-3719.872,-1859.936,36
8,273,Heredity,12,2,-3719.861,-1859.931,1
8,292,Permutate,12,2,-3719.801,-1859.9,1
4,135,Permutate,6,1,-1859.892,-1859.892,1
9,295,Heredity,12,2,-3719.775,-1859.888,2
1,16,RandTop,12,2,-3719.739,-1859.869,2
6,184,Heredity,12,2,-3719.734,-1859.867,2
4,121,RandTop,12,2,-3719.702,-1859.851,1
4,110,Heredity,12,2,-3719.701,-1859.85,1
4,144,LatMutate,6,1,-1859.849,-1859.849,1
3,98,softmutate,12,2,-3719.696,-1859.848,1
8,289,Random,12,2,-3719.692,-1859.846,2
7,253,softmutate,12,2,-3719.663,-1859.832,11
4,127,Random,12,2,-3719.663,-1859.831,1
5,161,softmutate,12,2,-3719.655,-1859.827,1
6,188,Heredity,12,2,-3719.648,-1859.824,2
3,107,softmutate,12,2,-3719.648,-1859.824,1
9,300,Heredity,12,2,-3719.623,-1859.812,2
1,31,RandTop,12,2,-3719.619,-1859.809,1
4,113,Heredity,12,2,-3719.618,-1859.809,2
5,158,Heredity,6,1,-1859.797,-1859.797,5
5,153,Random,12,2,-3719.582,-1859.791,1
2,49,RandTop,12,2,-3719.58,-1859.79,1
9,327,LatMutate,6,1,-1859.788,-1859.788,2
1,28,RandTop,6,1,-1859.782,-1859.782,2
7,242,LatMutate,6,1,-1859.78,-1859.78,2
4,136,softmutate,12,2,-3719.555,-1859.777,1
6,187,Heredity,12,2,-3719.533,-1859.767,2
6,183,Heredity,12,2,-3719.529,-1859.765,4
5,159,Heredity,6,1,-1859.762,-1859.762,1
2,47,Random,6,1,-1859.761,-1859.761,1
3,95,keptBest,6,1,-1859.761,-1859.761,1
9,308,Heredity,12,2,-3719.511,-1859.755,2
1,27,RandTop,12,2,-3719.506,-1859.753,1
9,306,RandTop,12,2,-3719.506,-1859.753,1
8,274,RandTop,12,2,-3719.491,-1859.746,2
7,234,Heredity,12,2,-3719.468,-1859.734,2
3,73,Heredity,12,2,-3719.461,-1859.731,1
2,66,Permutate,6,1,-1859.726,-1859.726,1
2,39,Heredity,6,1,-1859.718,-1859.718,1
8,288,LatMutate,6,1,-1859.716,-1859.716,1
8,276,Random,12,2,-3719.42,-1859.71,1
7,247,LatMutate,6,1,-1859.7,-1859.7,1
3,101,RandTop,12,2,-3719.379,-1859.69,4
8,266,Heredity,12,2,-3719.379,-1859.689,1
6,197,Heredity,6,1,-1859.686,-1859.686,1
2,48,Random,12,2,-3719.37,-1859.685,2
3,84,RandTop,12,2,-3719.369,-1859.685,4
5,156,Heredity,6,1,-1859.67,-1859.67,1
7,224,Heredity,12,2,-3719.332,-1859.666,12
9,296,Heredity,12,2,-3719.322,-1859.661,1
4,112,Heredity,12,2,-3719.317,-1859.658,1
3,71,Heredity,12,2,-3719.311,-1859.655,1
2,38,softmutate,12,2,-3719.285,-1859.643,2
4,141,softmutate,12,2,-3719.243,-1859.621,2
2,51,softmutate,12,2,-3719.236,-1859.618,2
5,174,Permutate,12,2,-3719.236,-1859.618,1
7,254,softmutate,12,2,-3719.226,-1859.613,2
2,57,Random,6,1,-1859.613,-1859.613,2
2,44,Heredity,6,1,-1859.607,-1859.607,1
8,262,Heredity,12,2,-3719.212,-1859.606,2
1,11,Random,12,2,-3719.211,-1859.606,2
6,219,softmutate,12,2,-3719.208,-1859.604,8
6,189,Heredity,12,2,-3719.205,-1859.603,1
9,299,softmutate,12,2,-3719.186,-1859.593,2
9,313,RandTop,12,2,-3719.179,-1859.59,10
9,301,softmutate,12,2,-3719.172,-1859.586,2
5,148,Heredity,12,2,-3719.163,-1859.581,1
5,181,Random,12,2,-3719.149,-1859.574,1
8,265,Heredity,12,2,-3719.147,-1859.573,2
4,124,RandTop,12,2,-3719.145,-1859.572,2
6,218,softmutate,12,2,-3719.14,-1859.57,2
2,42,Heredity,6,1,-1859.564,-1859.564,1
5,176,Random,12,2,-3719.127,-1859.564,1
6,214,softmutate,12,2,-3719.12,-1859.56,1
5,154,softmutate,12,2,-3719.096,-1859.548,1
8,258,Heredity,12,2,-3719.056,-1859.528,2
3,75,softmutate,12,2,-3719.045,-1859.523,1
9,310,Heredity,6,1,-1859.517,-1859.517,1
7,238,Permutate,12,2,-3719.034,-1859.517,1
6,186,Heredity,12,2,-3719.015,-1859.507,1
1,13,Random,6,1,-1859.505,-1859.505,2
3,85,softmutate,12,2,-3719.003,-1859.501,2
2,46,Heredity,12,2,-3718.994,-1859.497,1
6,202,Heredity,6,1,-1859.494,-1859.494,6
8,282,Random,12,2,-3718.984,-1859.492,1
7,230,Heredity,12,2,-3718.978,-1859.489,1
