Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
4,128,keptBest,6,1,-2243.958,-2243.958,1
7,220,keptBest,12,2,-4487.358,-2243.679,1
4,113,keptBest,12,2,-4487.358,-2243.679,1
5,145,keptBest,12,2,-4487.358,-2243.679,1
6,182,keptBest,12,2,-4487.358,-2243.679,1
3,90,Permutate,12,2,-4487.358,-2243.679,1
5,165,keptBest,6,1,-2243.609,-2243.609,1
6,206,keptBest,6,1,-2243.609,-2243.609,1
3,91,keptBest,6,1,-2243.609,-2243.609,1
2,61,Random,6,1,-2243.609,-2243.609,1
7,242,keptBest,6,1,-2243.609,-2243.609,1
4,129,keptBest,6,1,-2243.609,-2243.609,1
5,150,Heredity,6,1,-2243.575,-2243.575,1
7,248,RandTop,12,2,-4487.117,-2243.558,2
7,252,LatMutate,6,1,-2243.532,-2243.532,1
3,88,Heredity,6,1,-2243.459,-2243.459,1
4,131,keptBest,6,1,-2243.459,-2243.459,1
6,207,keptBest,6,1,-2243.459,-2243.459,1
7,243,keptBest,6,1,-2243.459,-2243.459,1
5,166,keptBest,6,1,-2243.459,-2243.459,1
2,42,Random,12,2,-4486.899,-2243.45,7
7,240,LatMutate,6,1,-2243.446,-2243.446,1
2,54,Heredity,6,1,-2243.404,-2243.404,1
4,130,Permutate,6,1,-2243.363,-2243.363,1
7,235,Random,6,1,-2243.361,-2243.361,8
2,64,Permutate,6,1,-2243.36,-2243.36,1
7,230,Random,6,1,-2243.351,-2243.351,1
6,195,Random,6,1,-2243.346,-2243.346,1
5,171,Permutate,6,1,-2243.344,-2243.344,1
6,214,LatMutate,6,1,-2243.334,-2243.334,1
6,199,Heredity,12,2,-4486.625,-2243.313,1
7,231,Heredity,6,1,-2243.306,-2243.306,1
5,162,Random,6,1,-2243.296,-2243.296,1
3,103,softmutate,12,2,-4486.58,-2243.29,1
4,114,RandTop,12,2,-4486.563,-2243.281,2
5,178,softmutate,12,2,-4486.56,-2243.28,1
6,190,Heredity,6,1,-2243.271,-2243.271,1
6,183,Heredity,6,1,-2243.267,-2243.267,1
1,8,Random,12,2,-4486.526,-2243.263,1
2,35,keptBest,12,2,-4486.526,-2243.263,1
7,245,keptBest,6,1,-2243.254,-2243.254,8
5,161,Random,6,1,-2243.254,-2243.254,8
6,208,keptBest,6,1,-2243.254,-2243.254,8
5,177,LatMutate,6,1,-2243.249,-2243.249,8
2,45,Heredity,6,1,-2243.243,-2243.243,1
2,58,Heredity,6,1,-2243.243,-2243.243,1
6,200,Permutate,6,1,-2243.231,-2243.231,1
6,218,softmutate,12,2,-4486.456,-2243.228,2
