Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
3,86,RandTop,12,2,-1498.045,-749.022,2
5,159,Heredity,6,1,-748.961,-748.961,12
3,91,keptBest,6,1,-748.918,-748.918,2
2,34,Heredity,12,2,-1497.643,-748.822,2
2,65,RandTop,12,2,-1497.605,-748.802,2
3,74,Heredity,12,2,-1497.588,-748.794,1
4,123,keptBest,12,2,-1497.561,-748.781,2
3,76,Heredity,12,2,-1497.561,-748.781,2
4,109,Heredity,12,2,-1497.554,-748.777,1
4,110,Heredity,12,2,-1497.542,-748.771,1
3,84,Random,12,2,-1497.541,-748.77,1
3,80,Permutate,12,2,-1497.522,-748.761,1
3,75,Heredity,12,2,-1497.495,-748.747,2
3,102,LatMutate,6,1,-748.741,-748.741,2
2,38,Heredity,12,2,-1497.473,-748.736,8
3,81,keptBest,12,2,-1497.473,-748.736,8
2,46,Permutate,12,2,-1497.47,-748.735,1
1,6,RandTop,12,2,-1497.469,-748.735,8
2,48,keptBest,12,2,-1497.469,-748.735,8
4,115,Heredity,12,2,-1497.459,-748.73,8
4,111,Heredity,12,2,-1497.456,-748.728,1
2,44,Heredity,12,2,-1497.432,-748.716,1
2,36,Heredity,12,2,-1497.423,-748.711,1
6,195,Heredity,6,1,-748.688,-748.688,12
6,207,Permutate,6,1,-748.688,-748.688,12
5,164,Permutate,6,1,-748.687,-748.687,12
5,170,keptBest,6,1,-748.683,-748.683,12
4,139,Random,6,1,-748.683,-748.683,12
5,160,Heredity,6,1,-748.651,-748.651,2
6,200,Heredity,6,1,-748.65,-748.65,2
5,176,LatMutate,6,1,-748.648,-748.648,2
6,197,RandTop,12,2,-1497.284,-748.642,1
4,127,Heredity,6,1,-748.621,-748.621,2
1,23,Random,6,1,-748.62,-748.62,2
5,167,Permutate,6,1,-748.62,-748.62,2
3,95,keptBest,6,1,-748.62,-748.62,2
2,56,keptBest,6,1,-748.62,-748.62,2
5,156,Heredity,6,1,-748.62,-748.62,2
6,199,Random,6,1,-748.62,-748.62,2
1,29,RandTop,6,1,-748.618,-748.618,2
2,59,softmutate,12,2,-1497.222,-748.611,2
3,106,softmutate,12,2,-1497.206,-748.603,1
5,149,Heredity,12,2,-1497.205,-748.602,2
3,73,Heredity,12,2,-1497.199,-748.599,1
3,85,Random,12,2,-1497.143,-748.572,2
2,60,softmutate,12,2,-1497.141,-748.57,2
4,116,Permutate,12,2,-1497.139,-748.569,2
4,142,softmutate,12,2,-1497.122,-748.561,2
6,196,Heredity,6,1,-748.561,-748.561,2
3,72,Heredity,12,2,-1497.116,-748.558,1
3,87,softmutate,12,2,-1497.095,-748.547,1
6,211,softmutate,12,2,-1497.066,-748.533,1
5,157,Heredity,12,2,-1497.042,-748.521,1
6,203,Random,6,1,-748.508,-748.508,65
5,177,LatMutate,6,1,-748.492,-748.492,2
3,90,Heredity,6,1,-748.492,-748.492,2
1,12,Random,12,2,-1496.951,-748.476,2
3,101,RandTop,6,1,-748.47,-748.47,12
3,83,keptBest,12,2,-1496.938,-748.469,6
2,53,Random,12,2,-1496.938,-748.469,6
5,155,Random,6,1,-748.465,-748.465,3
6,187,Heredity,12,2,-1496.925,-748.462,2
5,144,Heredity,12,2,-1496.916,-748.458,2
2,66,LatMutate,6,1,-748.454,-748.454,8
6,201,RandTop,12,2,-1496.904,-748.452,11
6,209,Permutate,6,1,-748.447,-748.447,12
2,35,Heredity,12,2,-1496.891,-748.446,2
6,183,Heredity,12,2,-1496.89,-748.445,2
5,175,softmutate,12,2,-1496.871,-748.435,2
2,52,Random,12,2,-1496.868,-748.434,12
4,117,Heredity,12,2,-1496.858,-748.429,2
4,112,Heredity,12,2,-1496.855,-748.428,2
6,189,Heredity,12,2,-1496.855,-748.427,2
4,134,softmutate,12,2,-1496.855,-748.427,2
5,145,Heredity,12,2,-1496.854,-748.427,2
4,135,softmutate,12,2,-1496.852,-748.426,3
3,89,Permutate,12,2,-1496.851,-748.425,2
5,148,Heredity,12,2,-1496.837,-748.419,2
4,138,Random,12,2,-1496.835,-748.418,2
6,212,Random,12,2,-1496.805,-748.403,1
6,198,softmutate,12,2,-1496.768,-748.384,2
2,61,softmutate,12,2,-1496.75,-748.375,2
3,82,Heredity,12,2,-1496.738,-748.369,2
3,78,Heredity,12,2,-1496.738,-748.369,2
2,49,keptBest,12,2,-1496.735,-748.368,2
1,11,Random,12,2,-1496.735,-748.368,2
1,7,Random,12,2,-1496.726,-748.363,2
2,40,Heredity,12,2,-1496.691,-748.346,2
1,1,Random,12,2,-1496.677,-748.339,12
2,51,keptBest,12,2,-1496.677,-748.339,12
1,16,RandTop,12,2,-1496.668,-748.334,1
6,186,Heredity,12,2,-1496.669,-748.334,2
5,165,Random,6,1,-748.322,-748.322,2
6,210,RandTop,6,1,-748.32,-748.32,2
1,4,Random,12,2,-1496.62,-748.31,2
5,158,softmutate,12,2,-1496.616,-748.308,12
1,31,RandTop,6,1,-748.301,-748.301,12
2,43,Heredity,12,2,-1496.592,-748.296,1
4,133,LatMutate,6,1,-748.291,-748.291,71
6,185,Heredity,12,2,-1496.578,-748.289,2
3,100,softmutate,12,2,-1496.568,-748.284,1
4,126,softmutate,12,2,-1496.543,-748.272,2
3,93,Random,12,2,-1496.544,-748.272,1
1,17,Random,6,1,-748.271,-748.271,1
2,33,Heredity,12,2,-1496.533,-748.267,8
6,217,softmutate,12,2,-1496.535,-748.267,1
1,19,RandTop,12,2,-1496.523,-748.262,2
5,172,Random,12,2,-1496.522,-748.261,59
1,26,RandTop,12,2,-1496.521,-748.261,2
1,28,RandTop,12,2,-1496.506,-748.253,11
6,184,Heredity,12,2,-1496.504,-748.252,2
1,3,RandTop,12,2,-1496.497,-748.249,10
6,214,LatMutate,6,1,-748.248,-748.248,2
1,22,RandTop,12,2,-1496.492,-748.246,10
1,18,Random,6,1,-748.233,-748.233,2
3,92,RandTop,6,1,-748.231,-748.231,2
5,152,Heredity,12,2,-1496.46,-748.23,12
2,41,Heredity,12,2,-1496.454,-748.227,2
1,14,RandTop,12,2,-1496.452,-748.226,55
1,10,Random,12,2,-1496.44,-748.22,2
2,39,Heredity,12,2,-1496.438,-748.219,2
4,124,Heredity,12,2,-1496.435,-748.217,10
3,105,Permutate,12,2,-1496.431,-748.215,1
6,192,Random,12,2,-1496.422,-748.211,11
5,151,Heredity,12,2,-1496.413,-748.207,2
5,174,softmutate,12,2,-1496.408,-748.204,59
1,13,RandTop,12,2,-1496.408,-748.204,10
5,179,LatMutate,6,1,-748.204,-748.204,2
5,161,softmutate,12,2,-1496.408,-748.204,11
5,166,softmutate,12,2,-1496.401,-748.2,12
5,154,Random,12,2,-1496.39,-748.195,7
4,136,softmutate,12,2,-1496.389,-748.194,2
1,24,Random,6,1,-748.193,-748.193,1
1,27,Random,6,1,-748.191,-748.191,2
3,96,RandTop,6,1,-748.188,-748.188,2
4,141,LatMutate,6,1,-748.182,-748.182,2
2,62,softmutate,12,2,-1496.356,-748.178,12
1,8,Random,12,2,-1496.302,-748.151,2
6,190,Heredity,12,2,-1496.3,-748.15,12
1,9,RandTop,12,2,-1496.294,-748.147,2
4,140,softmutate,12,2,-1496.285,-748.143,1
2,70,RandTop,12,2,-1496.277,-748.138,6
1,25,Random,12,2,-1496.265,-748.132,2
5,153,Heredity,12,2,-1496.261,-748.131,1
4,137,softmutate,12,2,-1496.261,-748.13,1
4,113,Heredity,12,2,-1496.244,-748.122,1
6,208,LatMutate,6,1,-748.121,-748.121,2
3,71,Heredity,12,2,-1496.174,-748.087,2
4,108,Heredity,12,2,-1496.166,-748.083,2
6,216,RandTop,12,2,-1496.14,-748.07,2
3,77,RandTop,12,2,-1496.12,-748.06,10
5,181,softmutate,12,2,-1496.12,-748.06,2
4,130,RandTop,12,2,-1496.105,-748.052,1
4,114,Heredity,12,2,-1496.032,-748.016,2
5,178,RandTop,6,1,-747.971,-747.971,2
5,180,RandTop,12,2,-1495.929,-747.965,1
4,119,RandTop,12,2,-1495.912,-747.956,2
2,67,Random,6,1,-747.951,-747.951,8
2,64,RandTop,12,2,-1495.894,-747.947,2
2,69,softmutate,12,2,-1495.877,-747.938,164
