Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
6,192,keptBest,12,2,-2713.68,-1356.84,2
9,325,RandTop,6,1,-1356.713,-1356.713,2
7,257,softmutate,12,2,-2713.322,-1356.661,2
3,95,RandTop,12,2,-2713.276,-1356.638,1
9,326,RandTop,12,2,-2713.257,-1356.628,1
1,31,Random,12,2,-2713.182,-1356.591,1
3,77,keptBest,12,2,-2713.182,-1356.591,1
2,40,keptBest,12,2,-2713.182,-1356.591,1
7,249,Permutate,6,1,-1356.577,-1356.577,2
9,330,softmutate,12,2,-2713.129,-1356.565,2
2,42,Heredity,12,2,-2713.076,-1356.538,2
9,324,keptBest,6,1,-1356.535,-1356.535,2
7,256,LatMutate,6,1,-1356.535,-1356.535,2
8,283,keptBest,6,1,-1356.535,-1356.535,2
3,90,Random,12,2,-2713.056,-1356.528,1
2,59,Random,12,2,-2713.054,-1356.527,1
2,36,Permutate,12,2,-2713.025,-1356.513,1
7,236,Heredity,12,2,-2712.962,-1356.481,2
8,263,Heredity,12,2,-2712.945,-1356.472,1
7,235,RandTop,12,2,-2712.942,-1356.471,1
5,145,Permutate,12,2,-2712.905,-1356.453,1
5,167,Random,12,2,-2712.902,-1356.451,1
4,115,keptBest,12,2,-2712.898,-1356.449,1
5,156,keptBest,12,2,-2712.898,-1356.449,1
7,243,keptBest,6,1,-1356.449,-1356.449,2
6,216,LatMutate,6,1,-1356.449,-1356.449,2
3,73,Permutate,12,2,-2712.898,-1356.449,1
6,203,Random,6,1,-1356.445,-1356.445,2
4,120,Heredity,12,2,-2712.89,-1356.445,2
7,244,keptBest,6,1,-1356.445,-1356.445,2
1,11,Random,12,2,-2712.89,-1356.445,1
4,116,keptBest,12,2,-2712.882,-1356.441,2
8,275,keptBest,12,2,-2712.882,-1356.441,2
6,197,keptBest,12,2,-2712.882,-1356.441,2
9,313,keptBest,12,2,-2712.882,-1356.441,2
7,233,keptBest,12,2,-2712.882,-1356.441,2
5,158,keptBest,12,2,-2712.882,-1356.441,2
2,34,Permutate,12,2,-2712.882,-1356.441,2
3,80,keptBest,12,2,-2712.882,-1356.441,2
9,300,Heredity,12,2,-2712.874,-1356.437,2
2,47,Heredity,12,2,-2712.834,-1356.417,2
2,66,softmutate,12,2,-2712.799,-1356.399,12
6,195,Heredity,12,2,-2712.799,-1356.399,1
6,198,keptBest,12,2,-2712.79,-1356.395,8
2,53,softmutate,12,2,-2712.79,-1356.395,8
3,81,keptBest,12,2,-2712.79,-1356.395,8
5,160,keptBest,12,2,-2712.79,-1356.395,8
4,117,keptBest,12,2,-2712.79,-1356.395,8
2,38,Random,12,2,-2712.78,-1356.39,2
5,161,keptBest,12,2,-2712.777,-1356.388,2
6,199,keptBest,12,2,-2712.777,-1356.388,2
4,111,Heredity,12,2,-2712.777,-1356.388,2
1,12,RandTop,12,2,-2712.762,-1356.381,11
2,41,keptBest,12,2,-2712.762,-1356.381,11
8,266,Heredity,12,2,-2712.744,-1356.372,2
8,264,Heredity,12,2,-2712.743,-1356.372,2
4,129,RandTop,6,1,-1356.371,-1356.371,1
5,163,Heredity,12,2,-2712.731,-1356.366,8
8,276,keptBest,12,2,-2712.729,-1356.364,1
9,314,keptBest,12,2,-2712.729,-1356.364,1
7,230,RandTop,12,2,-2712.729,-1356.364,1
3,84,Heredity,6,1,-1356.362,-1356.362,5
4,131,keptBest,6,1,-1356.362,-1356.362,5
5,176,softmutate,12,2,-2712.72,-1356.36,2
