Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
1,2,Random,12,2,-3859.135,-1929.568,175
4,118,Permutate,12,2,-3858.02,-1929.01,10
5,155,keptBest,12,2,-3858.02,-1929.01,10
2,43,keptBest,12,2,-3858.011,-1929.005,10
4,119,keptBest,12,2,-3858.011,-1929.005,10
1,22,Random,12,2,-3858.011,-1929.005,10
3,80,keptBest,12,2,-3858.011,-1929.005,10
5,169,keptBest,6,1,-1928.896,-1928.896,12
4,125,Random,6,1,-1928.896,-1928.896,12
5,171,Permutate,6,1,-1928.877,-1928.877,12
5,170,Random,6,1,-1928.87,-1928.87,12
4,130,keptBest,6,1,-1928.869,-1928.869,12
3,92,keptBest,6,1,-1928.869,-1928.869,12
1,8,Random,6,1,-1928.869,-1928.869,12
2,55,keptBest,6,1,-1928.869,-1928.869,12
5,163,Heredity,6,1,-1928.859,-1928.859,12
3,100,LatMutate,6,1,-1928.852,-1928.852,12
3,103,LatMutate,6,1,-1928.838,-1928.838,1
5,161,Heredity,12,2,-3857.674,-1928.837,2
4,140,LatMutate,6,1,-1928.833,-1928.833,1
4,117,RandTop,12,2,-3857.66,-1928.83,15
4,120,keptBest,12,2,-3857.661,-1928.83,15
5,158,keptBest,12,2,-3857.661,-1928.83,15
3,90,Random,12,2,-3857.661,-1928.83,15
4,128,Heredity,6,1,-1928.827,-1928.827,1
2,68,softmutate,12,2,-3857.529,-1928.765,2
4,121,keptBest,12,2,-3857.529,-1928.765,2
5,159,keptBest,12,2,-3857.529,-1928.765,2
3,81,keptBest,12,2,-3857.529,-1928.765,2
5,162,RandTop,6,1,-1928.752,-1928.752,69
2,57,keptBest,6,1,-1928.745,-1928.745,2
1,11,Random,6,1,-1928.745,-1928.745,2
3,94,keptBest,6,1,-1928.709,-1928.709,5
2,56,RandTop,6,1,-1928.709,-1928.709,5
4,138,RandTop,12,2,-3857.4,-1928.7,2
2,47,Random,12,2,-3857.391,-1928.695,166
3,76,Permutate,12,2,-3857.35,-1928.675,2
5,150,Permutate,12,2,-3857.348,-1928.674,2
3,101,LatMutate,6,1,-1928.662,-1928.662,1
4,129,Heredity,6,1,-1928.659,-1928.659,2
2,59,RandTop,6,1,-1928.656,-1928.656,12
1,7,Random,12,2,-3857.288,-1928.644,12
2,44,keptBest,12,2,-3857.288,-1928.644,12
2,63,Random,6,1,-1928.635,-1928.635,1
3,86,Heredity,6,1,-1928.631,-1928.631,12
2,46,Heredity,12,2,-3857.227,-1928.613,10
3,97,RandTop,6,1,-1928.597,-1928.597,2
1,26,Random,6,1,-1928.596,-1928.596,12
2,67,Random,12,2,-3857.157,-1928.579,10
5,149,Heredity,12,2,-3857.155,-1928.578,6
4,116,Random,12,2,-3857.152,-1928.576,12
2,54,RandTop,6,1,-1928.545,-1928.545,6
2,45,Permutate,12,2,-3857.085,-1928.543,2
2,42,Permutate,12,2,-3857.085,-1928.542,1
4,139,LatMutate,6,1,-1928.522,-1928.522,2
3,102,RandTop,6,1,-1928.512,-1928.512,2
4,124,softmutate,12,2,-3857.024,-1928.512,1
5,153,Heredity,12,2,-3856.997,-1928.499,1
3,99,Permutate,12,2,-3856.986,-1928.493,2
1,12,Random,12,2,-3856.961,-1928.48,1
1,5,RandTop,12,2,-3856.948,-1928.474,2
4,122,Heredity,12,2,-3856.927,-1928.463,1
4,141,softmutate,12,2,-3856.917,-1928.458,1
3,87,Random,12,2,-3856.916,-1928.458,1
5,174,softmutate,12,2,-3856.859,-1928.43,1
2,64,LatMutate,6,1,-1928.416,-1928.416,2
4,133,Random,6,1,-1928.41,-1928.41,1
1,6,RandTop,12,2,-3856.817,-1928.408,1
1,19,RandTop,12,2,-3856.812,-1928.406,1
1,20,Random,6,1,-1928.392,-1928.392,2
1,13,Random,12,2,-3856.767,-1928.384,1
1,30,RandTop,12,2,-3856.763,-1928.381,6
5,178,LatMutate,6,1,-1928.368,-1928.368,6
2,34,Heredity,12,2,-3856.725,-1928.363,2
5,154,Heredity,12,2,-3856.719,-1928.36,1
3,77,Heredity,12,2,-3856.711,-1928.356,2
2,52,Heredity,6,1,-1928.343,-1928.343,2
1,18,RandTop,6,1,-1928.338,-1928.338,38
3,88,Heredity,6,1,-1928.316,-1928.316,2
4,132,Permutate,12,2,-3856.623,-1928.311,2
4,123,Permutate,12,2,-3856.621,-1928.31,2
5,156,Random,12,2,-3856.611,-1928.306,2
4,112,Heredity,12,2,-3856.599,-1928.299,2
4,127,Heredity,6,1,-1928.29,-1928.29,2
2,48,Heredity,12,2,-3856.561,-1928.28,2
1,17,Random,6,1,-1928.273,-1928.273,2
2,49,softmutate,12,2,-3856.512,-1928.256,2
1,21,Random,12,2,-3856.501,-1928.251,1
4,126,Random,6,1,-1928.25,-1928.25,1
3,82,softmutate,12,2,-3856.484,-1928.242,1
1,10,Random,12,2,-3856.465,-1928.233,2
4,108,Heredity,12,2,-3856.458,-1928.229,2
1,9,Random,12,2,-3856.458,-1928.229,2
2,38,Heredity,12,2,-3856.45,-1928.225,2
3,73,Heredity,12,2,-3856.449,-1928.225,1
3,96,RandTop,6,1,-1928.221,-1928.221,2
1,15,Random,12,2,-3856.405,-1928.203,1
5,160,Random,12,2,-3856.377,-1928.188,8
5,177,softmutate,12,2,-3856.374,-1928.187,2
3,91,Heredity,6,1,-1928.18,-1928.18,2
2,60,Heredity,6,1,-1928.179,-1928.179,1
5,147,Heredity,12,2,-3856.303,-1928.151,2
4,110,Heredity,12,2,-3856.302,-1928.151,2
4,137,Random,12,2,-3856.297,-1928.149,2
3,79,Heredity,12,2,-3856.29,-1928.145,2
5,146,Heredity,12,2,-3856.269,-1928.134,192
2,35,Heredity,12,2,-3856.265,-1928.133,192
1,1,Random,12,2,-3856.262,-1928.131,148
5,151,Heredity,12,2,-3856.242,-1928.121,1
1,4,RandTop,12,2,-3856.239,-1928.119,11
3,71,Permutate,12,2,-3856.212,-1928.106,2
4,135,LatMutate,6,1,-1928.105,-1928.105,2
1,31,RandTop,6,1,-1928.09,-1928.09,5
3,89,Random,12,2,-3856.162,-1928.081,2
2,66,softmutate,12,2,-3856.157,-1928.079,1
2,39,Heredity,12,2,-3856.154,-1928.077,1
4,142,softmutate,12,2,-3856.152,-1928.076,1
5,175,Permutate,6,1,-1928.074,-1928.074,2
3,98,LatMutate,6,1,-1928.07,-1928.07,2
3,75,Heredity,12,2,-3856.133,-1928.067,2
3,84,RandTop,12,2,-3856.115,-1928.057,11
5,166,softmutate,12,2,-3856.113,-1928.056,2
5,180,LatMutate,6,1,-1928.036,-1928.036,2
2,53,softmutate,12,2,-3856.069,-1928.035,2
4,143,softmutate,12,2,-3856.059,-1928.029,2
4,111,Heredity,12,2,-3856.04,-1928.02,2
3,74,Heredity,12,2,-3856.021,-1928.011,2
3,85,Heredity,6,1,-1928.001,-1928.001,12
4,136,LatMutate,6,1,-1928.0,-1928.0,12
1,14,RandTop,12,2,-3855.992,-1927.996,2
5,168,Permutate,12,2,-3855.983,-1927.992,2
5,164,RandTop,6,1,-1927.983,-1927.983,148
1,23,RandTop,6,1,-1927.983,-1927.983,148
5,179,LatMutate,6,1,-1927.979,-1927.979,2
1,27,Random,6,1,-1927.978,-1927.978,2
5,165,Random,6,1,-1927.975,-1927.975,148
2,62,LatMutate,6,1,-1927.975,-1927.975,12
3,95,Random,6,1,-1927.974,-1927.974,148
