Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
5,151,keptBest,12,2,-2273.081,-1136.54,9
2,54,keptBest,6,1,-1136.502,-1136.502,8
1,1,Random,12,2,-2272.814,-1136.407,148
5,153,keptBest,12,2,-2272.354,-1136.177,2
4,118,keptBest,12,2,-2272.354,-1136.177,2
3,80,keptBest,12,2,-2272.354,-1136.177,2
2,38,Heredity,12,2,-2272.354,-1136.177,2
2,44,keptBest,12,2,-2272.317,-1136.158,1
1,15,Random,12,2,-2272.317,-1136.158,1
4,129,Random,12,2,-2272.233,-1136.116,2
4,136,LatMutate,6,1,-1136.092,-1136.092,1
5,180,softmutate,12,2,-2272.171,-1136.085,1
5,158,Random,12,2,-2272.163,-1136.082,1
5,168,keptBest,6,1,-1136.06,-1136.06,38
4,127,Permutate,6,1,-1136.06,-1136.06,38
3,87,Permutate,12,2,-2271.998,-1135.999,1
3,82,keptBest,12,2,-2271.993,-1135.996,38
4,119,keptBest,12,2,-2271.993,-1135.996,38
2,40,RandTop,12,2,-2271.993,-1135.996,38
5,154,keptBest,12,2,-2271.993,-1135.996,38
5,169,keptBest,6,1,-1135.986,-1135.986,8
3,93,RandTop,6,1,-1135.986,-1135.986,8
4,128,keptBest,6,1,-1135.986,-1135.986,8
3,104,Random,12,2,-2271.934,-1135.967,1
3,95,RandTop,6,1,-1135.954,-1135.954,6
4,131,keptBest,6,1,-1135.954,-1135.954,6
3,73,RandTop,12,2,-2271.854,-1135.927,2
1,18,Random,12,2,-2271.844,-1135.922,1
5,150,Heredity,12,2,-2271.817,-1135.908,1
1,6,RandTop,12,2,-2271.814,-1135.907,1
3,83,keptBest,12,2,-2271.808,-1135.904,2
2,46,Heredity,12,2,-2271.808,-1135.904,2
5,163,RandTop,6,1,-1135.901,-1135.901,1
4,109,Heredity,12,2,-2271.798,-1135.899,2
2,58,RandTop,6,1,-1135.889,-1135.889,1
3,94,keptBest,6,1,-1135.889,-1135.889,1
4,113,Permutate,12,2,-2271.761,-1135.881,1
5,157,Permutate,12,2,-2271.738,-1135.869,1
3,76,Heredity,12,2,-2271.725,-1135.863,2
1,24,RandTop,6,1,-1135.861,-1135.861,1
2,56,keptBest,6,1,-1135.861,-1135.861,1
1,4,Random,12,2,-2271.718,-1135.859,2
3,98,RandTop,6,1,-1135.855,-1135.855,1
4,140,softmutate,12,2,-2271.655,-1135.828,2
4,115,RandTop,12,2,-2271.65,-1135.825,1
5,165,Random,12,2,-2271.643,-1135.821,1
5,171,softmutate,12,2,-2271.607,-1135.804,2
2,41,RandTop,12,2,-2271.607,-1135.803,2
2,36,Heredity,12,2,-2271.604,-1135.802,1
4,138,Permutate,12,2,-2271.567,-1135.784,1
2,59,keptBest,6,1,-1135.779,-1135.779,1
1,25,Random,6,1,-1135.779,-1135.779,1
4,122,Permutate,12,2,-2271.503,-1135.752,5
2,52,Random,6,1,-1135.749,-1135.749,189
3,103,softmutate,12,2,-2271.488,-1135.744,6
3,102,LatMutate,6,1,-1135.742,-1135.742,1
2,43,Random,12,2,-2271.466,-1135.733,12
2,45,keptBest,12,2,-2271.463,-1135.731,2
1,2,RandTop,12,2,-2271.463,-1135.731,2
3,79,Random,12,2,-2271.462,-1135.731,12
3,90,Random,6,1,-1135.72,-1135.72,1
2,68,softmutate,12,2,-2271.422,-1135.711,1
5,156,Heredity,12,2,-2271.406,-1135.703,8
3,85,RandTop,12,2,-2271.402,-1135.701,2
2,53,RandTop,6,1,-1135.701,-1135.701,8
5,177,RandTop,6,1,-1135.699,-1135.699,6
5,160,Heredity,12,2,-2271.399,-1135.699,2
1,31,RandTop,12,2,-2271.382,-1135.691,2
2,69,softmutate,12,2,-2271.382,-1135.691,1
4,137,Heredity,12,2,-2271.36,-1135.68,1
1,10,Random,12,2,-2271.359,-1135.679,2
1,16,Random,6,1,-1135.674,-1135.674,1
4,120,Random,12,2,-2271.34,-1135.67,1
4,121,RandTop,12,2,-2271.327,-1135.663,1
3,74,Heredity,12,2,-2271.317,-1135.658,1
4,133,LatMutate,6,1,-1135.657,-1135.657,1
2,64,Permutate,12,2,-2271.264,-1135.632,1
3,106,softmutate,12,2,-2271.25,-1135.625,1
3,77,Heredity,12,2,-2271.246,-1135.623,2
4,108,Heredity,12,2,-2271.226,-1135.613,1
