COUPLES,ENT
MgNa,-1485.9776101782934 
MgB,-1099.74857096864 
MgN,-1167.83895063224 
MgBe,-1199.2015776632131 
MgO,-1224.3406529409867 
MgLi,-1137.8485771502667 
MgC,-1127.8335337257865 
NaMg,-1361.7325225127734 
NaN,-919.0823183733334 
NaBe,-950.4987737951733 
NaO,-975.8967743677332 
NaLi,-889.0985691258666 
BMg,-589.3351223598399 
BNa,-464.5701456152533 
BN,-146.09437128744 
BBe,-177.95725063333336 
BC,-105.73551361832443 
NMg,-724.0015914103866 
NNa,-599.6369620376 
NB,-212.75594032326663 
NO,-334.23813133844 
NLi,-251.27294134928002 
NC,-239.93623375916 
BeN,-345.6839317982133 
BeO,-401.49787907189335 
BeLi,-315.85659893693327 
BeC,-305.9755210449333 
OMg,-835.9006063133734 
ONa,-710.7933203737866 
ON,-389.8630944430667 
OLi,-362.41961890944 
OC,-351.4787706689067 
LiMg,-665.1354578736799 
LiNa,-540.69377140024 
LiB,-154.85150031575998 
LiBe,-254.04577795425334 
LiO,-279.5749457892533 
LiC,-182.8053399630178 
CNa,-520.7650730875733 
CB,-133.79457313305332 
CBe,-233.36877112173332 
CO,-256.69997150777334 
CLi,-172.47711993285336 
BeNa,-663.7539639098533 
BeMg,-788.3924339123067 
CN,-200.84997472384     
BLi,-116.545553226 
OB,-324.51457454271997  
OBe,-424.2527788174866  
BO,-201.32107894291332  
LiN,-222.8068805600333 
NaC,-879.17376973196 
BeB,-277.62377220796 
NBe,-312.69409518001333 
NaB,-851.0954666876399 
CMg,-644.8034278685666 
